Author,Date,Comment
goatinaboat,"on Aug 4, 2019","This lead to a dark rabbit hole and a lot of engineers leaving.But, I bet, a large and well-resourced HR department, which was the real goal. Who invented the system, after all."
artsyca,"on Aug 3, 2019",Don't call it 'suitspeak' -- these suckers haven't ever had the decency to wear formal business wear; it's `golf shirt speak` at best
goatinaboat,"on Aug 4, 2019","A previous employer had had that rampant feedback inflation for years, and reset it one year. The Big Boss - quite reasonably in my mind - said “our expectations are high and you should feel proud of meeting them”. But the company culture was still set up around “strong exceeds” being the norm and “meets expectations” being code for “massively underperforming” so that was an uphill battle. And many of those who had gotten used to “strong exceeds” really were massive underperformers. Really to make this work they should have deleted the entire history from the HR database."
solipsism,"on Aug 3, 2019",N/A
okcando,"on Aug 3, 2019","There are other factors but just one is under discussion: cutting the bottom five percent in performance reviews. And if consecutively ""meeting expectations"" puts you near the bottom, then the expectation must actually be to exceed expectations.Nevermind that this policy necessarily means churn and undervaluing aspects of software like security or fault tolerance and a constant drain of institutional knowledge."
solipsism,"on Aug 4, 2019","I'm not arguing for the policy. I wouldn't want to work at a place like that.But I feel like this isn't very hard to understand and I don't know what you're not getting about it.And if consecutively ""meeting expectations"" puts you near the bottom, then the expectation must actually be to exceed expectations.Uh.. no.. you seem to think ""meets expectations"" necessarily means ""will not get fired"". This policy exists, as dumb as it may be. Imagine you're a manager at a company like this and you're tasked with giving a performance review. You have two choices: you could do what you seem to be implying they should go and fudge the ratings, so that the bottom 5% always get ""does not meet expectations."" Or you could say ""fuck that stupid rule, I'm going to rate this person honestly, and if they still fire him that's their choice.""A performance rating and a company policy about firing are two completely separate things. I think you must have a naive understanding of how staffing decisions are made in the real world."
adrusi,"on Aug 3, 2019",N/A
paganel,"on Aug 3, 2019","A bus driver that “meets expectations” is the perfect bus driver, I don’t want him to “continually improve” thinking that he’s the new Ayrton Senna, I don’t want to be driven around by drivers who think that they’re Formula 1 drivers. How are programmers different from bus drivers?"
viscanti,"on Aug 3, 2019","> A bus driver that “meets expectations” is the perfect bus driverBy what standards are Bus Drivers evaluated? Near accidents are OK as long as they're lucky enough to not be involved in a real accident? If so, I'd prefer they actually improve and decrease their odds of being in a future accident. Does efficiency matter? Maybe one that's on time more often is actually better? Maybe customer service matters, and they can get better at helping people who need to buy tickets for the first time?> I don’t want to be driven around by drivers who think that they’re Formula 1 driversIt seems like there are multiple dimensions that a bus driver can improve on that aren't ""become a race car driver"". Given that, it seems like the bus driver analogy already isn't a good one.> How are programmers different from bus drivers?It doesn't even seem like we need to answer this one. You started with the false assumption that there are no dimensions that a bus driver can improve on other than becoming a race car driver. One could argue that there are much wider ranges of value creation in programming between average and above average programmers, but that's irrelevant given your initial premise is obviously flawed."
edw,"on Aug 3, 2019","No, I think this is a fine metaphor. If an engineer can understand a problem, identify a solution, and then implement, document, deploy, and support it in production for project after project, it’s completely legit to say they’re good engineers, and are not necessarily improving in any relevant way.Similarly, a bus driver that consistent drives without causing accidents, doesn’t spill the passengers’ coffee, doesn’t burn too much gas or wear out the breaks too quickly is a good driver.What you say to either of these people is “Great job, we love you, keep doing what you’re doing!”Encouraging growth and improvement as an end in itself can be destructive: How many projects amount to rewriting something that works in some new language or framework because an engineer wants to pad their resume or just learn something new?Craig Mod recently wrote Fast Software, the Best Software; I’m hoping he follows that up with Software That Already Exists and Works Fine Using an Unsexy Suite of Technologies, Software that Doesn’t Need to Be Rewritten."
viscanti,"on Aug 3, 2019","> No, I think this is a fine metaphor. If an engineer can understand a problem, identify a solution, and then implement, document, deploy, and support it in production for project after project, it’s completely legit to say they’re good engineers, and are not necessarily improving in any relevant way.We agree. If someone has maxed out all the relevant dimensions then there's no room for improvement. The problem is that there's a difference between that and average. The other problem is that there's continual room for being even better at identifying solutions.> How many projects amount to rewriting something that works in some new language or framework because an engineer wants to pad their resume or just learn something new?Unneeded re-writes and getting better are orthogonal concepts. That you're confusing them here underlines the logical fallacy that you're making. If there's legitimate room for improvement (and there generally is in bus driving and in software engineering), and if that improvement makes you substantially better at your job, then it's worth it. In neither of those areas is the ""average"" employee completely topped off in where they can grow."
coldtea,"on Aug 3, 2019",">How are programmers different from bus drivers?In that programmers are supposed to be creative, over-deliver, etc.You'd worry if a bus driver got from A to B in half the time driving twice as fast suddenly.But you'd be OK if a programmer you've asked to design system with features A, B, C and performance P, also delivers features D, E, F and performance 2*P without being asked!"
paganel,"on Aug 3, 2019","> In that programmers are supposed to be creative, over-deliver, etc.Like I said, I don't want the programmer in charge of the software that manages my financial or health records to be creative or over-deliver, quite the contrary. I'd add personal-data to the mix, and now I've covered a huge chunk of SV companies. I think that the era of ""move fast and break things"" should be over by now, unfortunately relatively paltry $5 billion fines won't stop the creativeness of some companies."
coldtea,"on Aug 3, 2019",">Like I said, I don't want the programmer in charge of the software that manages my financial or health records to be creative or over-deliver, quite the contrary.Sure, but most programmers don't program systems that manage financial or health records or write the software for the ISS.For the majority working on enterprise backoffice stuff, CDUD, web services, mobile and desktop apps, websites, and so on, being creative and over-delivering is OK, and even encouraged."
kragen,"on Aug 4, 2019","You'd like your financial and health records to be managed by average-quality software? That is, software that's full of bugs, confuses its users into making lots of eyes, and is insecure? I'd rather have them managed by file clerks on paper if that's what's on offer on the software side."
kragen,"on Aug 5, 2019","Lots of errors, not lots of eyes. This error brought to you by my failure to successfully use well-above-average software written by Googlers."
amelius,"on Aug 3, 2019","> From being warned I'd be terminated to a promotion in less than six months, with no change in my work, but simply it becoming visible. Whee big company fun.They probably deduced from this that their warning system worked as expected."
otaviokz,"on Aug 3, 2019",I think the probability of you being right is definitely above 50%.
replyguy912,"on Aug 3, 2019",I'd say it's somewhere between  bottom 5% and top 10%  ;)
keanzu,"on Aug 4, 2019","Regression to the mean tells you that if you reward success and yell at under performers the successful people will get worse and the under performers will get better. Lesson learned: All yelling, all the time."
smdz,"on Aug 3, 2019","And did your manager go on to get another promotion? And may be few more team members had similar jumps in performance?A new manager we had deliberately did this to us. Few of us got marked as ""under-performer"" levels at random times - risk of being terminated by the bell-curve justification and then within 6 months (not at the same time) we all were ""exceeds expectations"". The few of us figured out what the manager had done - after 2.5 years. By then she went from being a manager to a senior director with a decent portfolio - and that too pretty quickly. Oh why not! she created ""stars"" and ""performers"" out of under-performers.I ended up ""deliberately"" underperforming for the next 1-1.5 years after they first tagged me. How hard can it be to NOT work? Well it is hard. I invested in learning lot of stuff. But management always figured out I was more than meeting expectations, got me raises and promotions. May be forwarding emails did the trick. But then I got bored, frustrated and quit."
ericmcer,"on Aug 3, 2019","The engineers who I have seen game these systems inspire a mix of anger, jealousy and admiration. I can never decide if those of us working hard and trying to make things better are dumb or if the people exploiting company policies are.I watched a new hire recently lynchpin himself into a critical part of the software, make larger then life promises about new “cutting edge” tech in presentations, constantly post articles in Slack, and finally stop showing up or being online much at all other than to do some lip-service and make the occasional PR. I am a little envious of how little he does and how much praise he receives for checking all the boxes with higher ups."
kbrisso,"on Aug 3, 2019","Where I work this is an ""Architect"". I'm in the middle of a project designed by these same people to use these ""new cutting edge technologies"" we are essentially replacing one legacy pile of shit for another new pile of shit that is ever more so complicated to maintain. It blows my mind the money that it being wasted."
vpeters25,"on Aug 3, 2019","In agile, or any other project management process, the ""customer"" is not necessarily just the final user but any stakeholder.As a rule of thumb: anybody who needs regular progress updates on a project is a ""customer"".The difference in agile vs other development processes is progress reports are partial releases of working code instead of a percentage increase on a gantt chart."
mlinsey,"on Aug 3, 2019","Sorry you had to go through such obviously bad management. Just to give some context about how these guidelines are supposed to work at Google: being managed out for staying at Meets Expectations is something that's supposed to be only applicable to entry-level roles. (when I was there, this applied to the new grad T3 rank, as well as T4, I think this may have changed since I left to be just T3).But at an entry-level rank, it is possible to get good ratings and even get promoted if your product hasn't shipped to customers yet (and I would do this with my directs routinely), as long as you are delivering milestones.  Part of the definition of T3 is that you cannot yet independently work on a project, ie you need help from senior devs to get things done, and IMO if you stay at this level for more than 1.5 years (3 reviews), and there are no other extenuating circumstances, it's appropriate to consider if the company is a fit.At more senior levels, you have to show business/customer impact to get promoted, but there is also no notion of being managed out for meeting expectations.Of course, these guidelines aren't always implemented or communicated equally across the company, to say nothing of other companies that copy only parts of the process."
rs23296008n1,"on Aug 4, 2019","That termination threat is to me a signal that the company hates me and the business relationship is unrecoverable. I'd be polishing my CV and would be gone within a month of finding a better opportunity. Likely with a raise while I was at it.Toxic environments like that are not worth working in. All sorts of other ""interesting"" corporate cultural aspects are usually also present. Their ethics are compromised so fraud and other criminal activity etc is probably going on as well. Even if not, the company is badly run and long term will fail in various ways for foolish reasons."
JSavageReal,"on Aug 4, 2019","How is this even legal? Is there a movement to ban stacking ranking? If we don't voice our concerns as employees, then nobody will.Also the fact that ""meets expectations"" is concern for firing makes absolutely no sense. A plumber who ""meets expectations"" in fixing my toilet is a good plumber. I don't expect a plumber to go ""above and beyond"" and give me a Thai massage too.Absolutely unreal some of the crap we put up with in this industry. Blows my mind that there are actually humans out there in management positions advocating for and implementing this totalitarian dystopian garbage, throwing away their employees for ""meeting expectations"" as if they're disposable ""widgets""."
_fol8,"on Aug 3, 2019","This is a sign of a sick and abusive culture.
Once process becomes more important than people then the evil ones will work the system and climb the ladder hurting everyone in their path. Yuck."
logicchains,"on Aug 3, 2019",Look on the bright side: Yahoo is an example suggesting that at least in tech if a company is managed badly enough this eventually results in its demise.
izacus,"on Aug 3, 2019","Huh, as much as I've heard, good luck ever getting a promotion at Google with a track record of MEs and a single EE. People with SEE regularly get their promotions denied."
lonelappde,"on Aug 3, 2019","That's because it's uncorrelated,  not high bar. Until recently, the manager giving you EE and SEE is totally different from and actively distrusted by the promo committees.And on top of that, the criteria are different. Working a little faster than your peers is EE, and is rewarded with raise and extra bonus, but that's different from performing in a higher level role with qualitatively different expectations."
inlined,"on Aug 3, 2019",Can confirm. I didn’t get my promotion till 2xEE and 4xSEE.
lr4444lr,"on Aug 4, 2019","Your post is implying a few things that compel me to ask:1) There is a pure relative ranking firing cut-off at Yahoo regardless of how well the people at the bottom do?2) Does Yahoo make this clear when they hire you?3) Your manager was so incompetent that he could not judge your performance outside of customer facing product?4) A company as big as Yahoo thinks its going to survive alienating the personality that looks for big company culture with that kind of ""make the cut"" performance review?"
Macha,"on Aug 4, 2019","Stack Ranking at yahoo is no more, at least officially as of a few years ago."
TrackerFF,"on Aug 3, 2019","The problem, so to speak, is that companies are getting extremely data driven, and constantly need some form of metrics to evaluate their employees.This again can turn into a culture where doing what's expected is devalued to lowest score - because you have that system where there has to be bottom and top performers.And you sadly end up with a situation where workers are (almost) embellishing their projects to get more visibility."
ckosidows,"on Aug 3, 2019","My company insists each ticket in Jira have a time logged on it now. This is on top of story points. Everyone I know has pushed back on it, but I hope this isn't becoming a standard elsewhere."
bravoetch,"on Aug 3, 2019","Product / project / scrum guy here. Logging time won't make sense unless each ticket is one person working on it at a time. The moment it becomes teamwork (like asking someone else for their thoughts on an idea) the value of time is meaningless.People are also useless at estimating time in advance, but pretty great with throwing a story-point number on a given story with the right guidance. Please feel free to schedule me in with your uneducated upper management. They're about to lose value."
pjmlp,"on Aug 3, 2019","Many companies use Jira tickets to track employee time, instead of having a separate time tracking system.This creates a situation where everyone is searching for tickets to make up for their daily 8h."
tambre,"on Aug 4, 2019","Same in the company I work at, but only for IT employees. It's fine as long you have over 80% of the monthly hours in you contract tracked.
Definitely not used for micromanagement. I myself find it useful for seeing inefficiencies in what I do and ensuring I actually go home.It's handy for charging clients for development work specific to them."
tus88,"on Aug 3, 2019",The workplace culture this kind of Lord of the Flies management approach results in must be horrendous.
technofiend,"on Aug 4, 2019","My project just delivered MVP 1 which automated a certain infrastructure build process that was previously a mix of manual, semi-manual (people running scripts by hand) and automated.  In parallel to that green field development I also fixed the issues with the previous solution.  Happy path for the old tool is down from 20+ days to 4 and dropping, happy path for the new tool is hours.Now that I've delivered those improvements my boss added reworking the software stack that feeds my current system.  He also said to me ""Oh, BTW RIFs are coming, take that how you will.""So I'm not certain if at this point I'll be RIFd right after delivery of a complete retooling of our infrastructure build process."
goatinaboat,"on Aug 4, 2019",So I'm not certain if at this point I'll be RIFd right after delivery of a complete retooling of our infrastructure build process.Did you write the documentation yet? I think you know what I mean.
rolltiide,"on Aug 3, 2019",Seems a lot more impersonal but this is a big possibility at small companies tooA specialist working on a platform that doesn't need the whole backend team is isolated and easily skipped over for all accolades
walshemj,"on Aug 3, 2019",That sounds interesting a few years ago I worked on a project (the back end system that managed large chunks of the core UK internet infrastructure ).That had an extended 9 month design phase - but a short 12 week agile sprint phase that delivered two intermediate POC versions and then a final working project (we even delivered hardware when at the last minute the customer admitted they hadn't ordered a server) - we even took enough networking gear that we could have installed a net work if that was missing to.
ahupp,"on Aug 5, 2019","Ugh.  If ""meets expectations"" puts you in the bottom 5% this says to me that there's wild miscalibration in the review process; e.g not everyone is using the same standard for ""meets"" and some teams have inflation going on.  At my last employer we had lot of cross-review between teams to make sure everyone applies a similar the same standard, just to avoid this problem."
zerr,"on Aug 3, 2019",So no peer (fellow engineers) reviews but solely manager?
hiccuphippo,"on Aug 5, 2019",Why would meeting expectations put people at risk of being terminated? Do they expect one to do more work than one was payed to do?
doggydogs94,"on Aug 4, 2019","If they had fired you, you could have taken your code and created a startup."
pmorais,"on Aug 4, 2019","I have never heard of a tech company that doesn’t require that you explicitly give up ownership rights to software written on the job, so good luck with that"
vecter,"on Aug 3, 2019",It sounds like your manager failed to adequately represent your work.
abdj8,"on Aug 3, 2019",N/A
steelframe,"on Aug 3, 2019","Speaking as someone who has been at Google for about 10 years, I would caution against trying to paint ""developers at Google"" using broad strokes. Google is a multifaceted megacorporation housing a plethora software project categories. Through the years I've been deeply involved in a wide spectrum of them, ranging from ""disconnect for 6 solid months and deliver a leapfrog for the masses"" to ""form an umbilical cord with a handful of enterprise customers."" The techniques necessary to drive results in each case vary in accordance with the nature of the problem. This is where broad perspective and good judgement come into play, and dogmatic adherence to -- or dogmatic rejection of -- any particular development process presents a risk."
Mangalor,"on Aug 3, 2019","> ""disconnect for 6 solid months and deliver a leapfrog for the masses""What a luxury that must've been..."
wolco,"on Aug 3, 2019",No it was g+
utopian3,"on Aug 3, 2019",Or one of the twelve messaging apps that got ignored by the masses because no one longer trusts their products
mav3rick,"on Aug 4, 2019","Right. Everyone is using duck duck go , Proton mail and vimeo outside of HN."
ilikehurdles,"on Aug 4, 2019","Allo me on Google Messenger. Or was it Android Messenger? Anyway, my Duo handle is xxHangoutsDudexx. We start a Google Talk session later."
mav3rick,"on Aug 4, 2019",Have fun using signal with your two friends.
utopian3,"on Aug 4, 2019","You missed the point by two miles. I still use Hangouts, but they’ve introduced 12 other apps in the last 10 years that do the exact same thing. All while making Hangouts / google chat / gTalk (whatever it was originally called in Labs) worse."
mav3rick,"on Aug 4, 2019",Google is good at a lot of things. Messaging strategy is not one of them. HN just hates Google doing well in anything so the expected harping on messaging.
utopian3,"on Aug 5, 2019",https://joelx.com/google-discontinues-hangouts-on-air/15177/
utopian3,"on Aug 5, 2019",Thank you for agreeing with me.
mav3rick,"on Aug 6, 2019",Big companies have many blind spots. There is nothing new here.
pmorais,"on Aug 4, 2019",N/A
hinkley,"on Aug 3, 2019","The hardest part of working with really smart people is that they can rationalize pretty much anything. Worse still, if they have been on the project for years and you’re the new guy, you’re working from a deficit of knowledge and they’ve had plenty of time to cook up a “coherent but wrong” model of the universe. The only thing that saves a group like that is humility. Trying to see the system through the eyes of the new person helps loads. I call people out for complaining about “having to” train a new guy. It’s “getting to”, man. Take advantage of the opportunity.The first time I worked with a stable group where everyone was a smart as me, even the old new guy with a massive inferiority complex who managed to sneak one really profound comment into every meeting, there was a lack of humility on everybody’s part and things did not go well.  Planning meetings were exhausting because you could get them to bash their own old work but couldn’t get them to admit to needing to change process at all. I should have quit, but I had a string of experiences with persistence paying off and I had not been beaten yet. That was the first time, and my current employer the second (I should probably quit here, too).Cognitive dissonance is at its absolute worst in the head of a scary-smart person."
ellius,"on Aug 3, 2019","You probably know this, but a lot of studies back you up. Being smarter doesn't necessarily make you more likely to be right, but it makes you a hell of a lot better at rationalizing your position and persuading others. Also, that comment about the ""old guy with an inferiority complex who sneaks one really profound comment in every meeting"" really hit home. We have that guy on my team too. You have to wonder what's going on when those guys are sitting in the corner and us blustery people are doing all of the talking."
perl4ever,"on Aug 4, 2019","I would say that being smart does make you more likely to be right, but overall, your rightness is not the percentage of cases in which you were right, because some bad decisions are far more (and unexpectedly) highly weighted than others when it comes to an overall outcome.Where smart people fail is because they were ""right"" in a limited, seemingly appropriate context and it turns out that in a larger context, it didn't matter."
jammygit,"on Aug 4, 2019","> Being smarter doesn't necessarily make you more likely to be right (...)> (...), but it makes you a hell of a lot better at rationalizing your position and persuading others.My reading has said the opposite: smart people are far more likely to be right, but it does no good because the important thing is to be able to communicate"
ellius,"on Aug 4, 2019","So I included that ""necessarily"" on purpose. In general smarter people will solve problems more correctly. But there is also a whole class of problems where being smart is actually a detriment. Here is a good read on this topic: https://www.newyorker.com/tech/frontal-cortex/why-smart-peop..."
caminante,"on Aug 3, 2019","There's a lag (potentially years) in judging peer competency (or cognitive dissonance) when you switch domains.  Gatekeeping and poor new-hire integration are early warnings.You might ask yourself if your current executives are aware of the issues you're seeing, then think through what you can control and re-prioritize."
DonHopkins,"on Aug 4, 2019",N/A
streetcat1,"on Aug 3, 2019","I personally think that it is all matter of risk. The risk of contract work (which is what the agile manifesto writers were facing most of their careers [they are all consultants), is building something that the customer do not want or did not intend do. The actual tech risk is very low (e.g. ruby on rails on postgres) since most of them use mature technology. In this case the agile manifesto make sense - I.e. we can build something really fast and literally ask the customer if this is what he wants every two weeks.When you building hard tech products (e.g. borg or tensorflow), the actual risk is technology and competition, and since this is new technology, there are not that many customers. In this case the risk is in the architecture (i.e. it would be hard to change the core architecture) and in the technology, since you do not know what kind of application will be build on top of this new technology. In addition, you face general competition risk, since the market can usually absorb only one dominant architecture.So in this case, you invest much more time in design and careful construction."
hinkley,"on Aug 3, 2019","Even without mature technology, you want to shake down the new tech early to find out if it’s going to crumble around your shoulders at the worst possible moment.While Agile is not perfect for this kind of work, it does have a lot of facility in this area.Now if you could just get any two people to agree on what constitutes the last responsible moment...And with new tech you often have to do it first or do it better. Oddly I find Agile seems to work better for “do it better” because if it’s easier for you to add features than your competitor, they will probably get burned out before you do.  If you can survive that long you start to pull ahead."
streetcat1,"on Aug 3, 2019","So, just from observation, when developing new tech, there is always LAST to market advantage. MS was LAST to market. Google was LAST to market. Kubernetes was LAST to market. Apple was LAST to market (After MS and Palm).I think that Agile is good after the market is captured. But when developing the core tech (usually with no customers beside product managers and based on research), it might be too constraining."
hinkley,"on Aug 3, 2019",I’ve observed the same thing. I’ve also observed that the dogma in the startup world is exactly opposite. Everything is about version 1 and there is nothing left in the tank for version 2.The whole MVP thing is more about selling demoware to investors. It just sounds like it’s being supportive and it gets them what they want. They don’t give one shit about what happens 18 months from now. That’s somebody else’s problem. There’s always someone with a higher pain tolerance they can hire (note: pain tolerance is negatively correlated with capacity to anticipate problems before they become emergencies).  And there’s always advertising or mergers to mask the real problems.
agency,"on Aug 4, 2019","There's a last to market advantage in the same way that ""you always find things in the last place you look"""
Nomentatus,"on Aug 4, 2019","Gates made this argument strongly, in public, before getting nailed a couple of times - the latest big smackdown being Android, as he's confessed recently. ""Last to market"" is often ""first to market with the truly appropriate technology."""
andrewmutz,"on Aug 3, 2019","I agree 100%.  You should be continuously delivering in a way that allows you to learn about the area of greatest risk.For much of what Agile development is applied to, the greatest risk is market risk.  You want to get something out to users as quickly as possible to see if your assumptions about your users and their needs are right.For google style projects, there is primarily technology risk rather than market risk.  If you are trying to build something that is obviously useful but is perhaps impossible, it makes sense to focus on delivering working systems that allow you to see if your assumptions about technological limitations are correct."
jammygit,"on Aug 4, 2019","Suppose you are a Series <X> startup with a very large amount of technology to build before you surpass your competitors. In order to do a better job, you have to adjust things constantly in response to customer feedback.Presupposing that there are years of feature work to be done, do you go with Agile, or waterfall?"
kd5bjo,"on Aug 3, 2019","There is unfortunately a large gulf between “agile” and “Agile” development these days.  The former refers to development generally in line with the agile manifesto, with processes tailored to the needs of the team and the project.  The latter is a buzzword used by consultants to convince management to put their favored bureaucratic method in place, usually some variant on the scrum system."
bamboozled,"on Aug 3, 2019","This is mostly what I see happen too, ""Agile"" is used an excuse to introduce some type of bureaucratic process to fix what is actually pathological cultural / leadership issues."
hinkley,"on Aug 3, 2019",Agile as practiced by nontechnical managers is essentially a hill climbing algorithm.And I think we all learned in college that hill climbing rarely if ever finds the optimal solution. Often it doesn’t even find Good Enough. But it’s the best thing you can see in the vicinity so it gets labeled Good Enough even over the protests of people who have done it better elsewhere.
NicoJuicy,"on Aug 3, 2019","I would have upvoted this 3 times, if I could"
logicchains,"on Aug 3, 2019",s/fix/try and fail to fix.
bamboozled,"on Aug 3, 2019","Yup, thanks for that, this is what I meant."
krinchan,"on Aug 3, 2019","This. Our team tends to take more of a Kanban approach and we've yet to miss a quarterly delivery and always have a good sense of how far along we are. Meanwhile, the higher ups think it's black magic we don't spend 4 hours in ""sprint planning"" every two weeks."
tech_tuna,"on Aug 4, 2019",Koolaid.
crazygringo,"on Aug 3, 2019","This post feels a little disingenuous...First of all, it's not like most engineers at Google are working on Bigtable or Borg, with a ""very simple interface and tons of hidden internal complexity"". Plenty of them are working on normal consumer-facing products, the ""software with a simple core and lots of customer visible features that are incrementally useful"", although maybe that's not the hype people want to believe.But either way -- he insists ""companies like Google write revolutionary software which has never been written before, and which doesn’t work until complex subcomponents are written."" But putting aside the ""revolutionary"" hype, there's no reason subcomponents can't have agile philosophies applied.A big part of agile is ensuring developers actually understand the requirements (consensus via point estimation), seek to define requirements where they're suddenly discovered to be vague/undefined, and have frequent check-ins to demonstrate that their software is making progress towards those requirements and raising any potential blockers early on, and not accidentally going down a rabbit hole of building the wrong thing (despite best intentions) for weeks at a time which nobody notices until too late, and the project is delayed by months.That's just as important for a subcomponent of a subcomponent, as it is for a service dashboard. To assume agile is only for ""consumer-facing"" software is a deep and fundamental misunderstanding."
pfooti,"on Aug 3, 2019","This is true. I'm a swe at Google. My team uses scrum methodology, and is responsible for a customer facing but thoroughly ""normal"" product. My work doesn't involve building heretofore unknown planet scale computational resources. It's just a normal product where I'm a full stack dev.I'm sure there's ways we can improve our canonical agile-ness, but it's not lip service. We set quarterly goals sure, but they can change if situations change and the goals themselves are usually data-driven (based on prior quarters a/b testing and other research done by our UX team). We also have strong product and project managers, who own a lot of the scrum meta-work.So, I guess #notallgooglers (which for context is an ironic, kind of self deprecating response here). There's tens of thousands of engineers at G. Some teams are agile, some aren't."
insertnickname,"on Aug 3, 2019",Quarterly goals are not necessarily anti-agile. Extreme Programming has both a weekly and a quarterly cycle.
vl,"on Aug 4, 2019",This Qoura post is typical pro-Google propaganda. Things at current Google are far from described: modern Google is deep bureaucratic hierarchical organization.
ma2rten,"on Aug 3, 2019","First of all, it's not like most engineers at Google are working on Bigtable or Borg, with a ""very simple interface and tons of hidden internal complexity"". I would say that most engineers are working on something like that. Those two examples are from google cloud/technical infrastructure, but other products such as search and ads have tremendous complexity behind them."
pmorais,"on Aug 4, 2019",I feel like this hubris is why almost every google product I use is riddled with horrible bugs. The cursor move functionality on Gmail for iOS has been broken for TWO YEARS. It’s also why the tensorflow API is a horribly over-engineered abomination when Pytorch is almost at feature and performance parity with something exponentially simpler and more consistent/elegant. That “biggest baddest solution” culture makes sense for Bigtable; it’s god-awful for anything remotely customer facing.
akhilcacharya,"on Aug 3, 2019","> Plenty of them are working on normal consumer-facing products, the ""software with a simple core and lots of customer visible features that are incrementally useful"", although maybe that's not the hype people want to believe.Honestly, it seems a bit elitist to me.I work at a company that pioneered SOA for both technical and organizational flexibility reasons and I'd say it's worked out pretty well for us!"
