Author,Author Description,Publication Date,Votes,Review
Peter Pang,Studied at Corning Community College,2019,11,Why hate Agile? It is a great opportunity to micromanage the developers and keep their noses on the grindstone at all times. It is yet another management fad which the humanity will survive. It is as simple as that.
Miles Fidelman,"Systems Architect, Entrepreneur, and Policy Wonk",2016,24,"Because it's broken. For incremental changes, to small projects, it works fine. For large, complex systems, it ignores anything resembling well thought out architectural design - leading to truly hideous systems."
Parantap Samajdar,"Automation Architect, Pre-Sales consultant",2020,1.5K,"Scrum, like open workspaces or day long requirement gathering meetings, is one of those things that is never liked by anyone who actually needs to participate in it. Only people who likes it are (1) people who gets employment because of it, e.g. professional scrum master (whatever that means) or agile coaches (it does not mean anything - another free money role like diversity champion); or (2) People who needs the visual and perception of lot of work being done, without having to care about what actually is being done.
So business analysts, developers, testers hate scrums with a passion. But senior managers love them, because it creates a better perception when things are happening weekly or daily v/s quarterly. If the things that are happening is is not adding value, it is easy to blame the developers or testers. But if nothing is happening, the managers get the blame. So ..
The root cause of the problem with scrum or agile in general is somewhat similar to communism. The core idea is too beautiful for any sane person to reject. Every single implementation that has happened so far are so horrible that no sane person can accept it.
Agile manifesto was written to address challenges with commercial end user facing applications which could not possibly support the old extremely bureaucratic and lengthy development process. It works perfectly for the type of applications that it was designed to deliver. However, when morons took over the keyword (much like AI more recently), they twisted the concept into something that even the original authors could not recognize.
There is no way to escape Dilbert when talking about Scrum / Agile. They are so true to the real life that we sometimes don’t know if we are laughing or crying."
Dave Voorhis,"Software entrepreneur, engineer, and educator for 35+ years.",2023,359,"The original notion of Agile[1] was:
Individuals and interactions over processes and tools;
Working software over comprehensive documentation;
Customer collaboration over contract negotiation;
Responding to change over following a plan.
I don’t know any developers who dislike that, because it’s about empowering software engineers.
I know some managers disliked its original form, because it implied a lack of managerial control. That’s because software engineers see themselves as the source of software and software excellence, but some managers see themselves as the sole source of software and software excellence and software engineers are — or should be — mere instruments to implement managerial vision, like compilers with eyes and fingers.
So those managers pushed back against Agile in its original form, and came up with what we sometimes see described as “agile”:
Processes and tools over individuals and interactions;
Comprehensive Jira ticket comments and constantly-revised Confluence pages over working software;
Customer interaction via a hierarchy of managers, analysts, and formal processes rather than collaboration with software engineers to build software that works;
Endless changes due to lack of any planning or foresight.
It should be self-evident why people might dislike that kind of “agile.”
Footnotes
[1] Manifesto for Agile Software Development"
Alex Rogachevsky,"Expert ""coder"" refusing to be ""outsourced"", startup founder/CTO",2017,35,"In the perfect world, Agile was invented in, by developers and for developers - as you may recall from the Agile Manifesto…
A number of things didn’t exist in that world:
The headcount aka bodyshop-supplied “body” fraud to staff always unneeded always failing (at the infamous 70–90% IT failure rate) corporate IT projects, used to “spend” excess profits otherwise lost in taxes. Can’t play that kickback game with servers and switches. The obscure “human capital” however is the perfect smelly pond with its murky water. With the certain overpopulated country providing the unlimited number of “bodies”.
“Offshore” “outsourcing” aimed at suppressing wages and capping engineering careers.
The redundant - compared to the actual “functional” managers with decision power… institute of clueless non-technical Project Managers tasked solely with hour counting and reporting to even more detached from reality PMO (“O” stands for office).
Speaking of #1, I am going to go with the conservative 10x estimate stated in one of the Quora posts on the difference between the senior developer and a code monkey. Anyone not working by the book (myself) should have more aggressive e.g. 100x and higher productivity after eliminating the glue code. Note, it is just the technology alone - doing the heavy lifting. Not the “project management” or any other mythical MBA “communication” and “collaboration” magic.
Going with 10x, if you replace a typical 20-developer team with just two people, a lot of IT “coordinators” and “facilitators”: namely PMs will lose their jobs too. Several times more third-party middlemen forming the enormous IT Consulting Food Chain would lose their cut. I feel for them… not really. In any case, how much “project management” such two-people team needs?
Speaking of #2, accelerated and efficient software development becomes nothing, but slavery, in that context. Greedy bosses diluting your effective hourly rate through unpaid overtime and other tricks against you fighting back by fooling those clueless non-technical bosses with padded estimates. Also, think for a moment, what kind of work the proper project management is supposed to make more efficient in a typical “IT organization”: the same needless IT commotion and visibility of work e.g. bug fixes of spaghetti code produced by keyboard banging code monkeys of the certain geographic origin: otherwise replaced 10 to 1 or 100 to 1, as explained above.
With no more career future, explained in simple terms as rewarding someone’s increasing contribution with increasing salary, the trust has been lost forever. Any attempt to optimize engineering work is not just viewed, but really is a hostile activity to squeeze more money out of the already low (compared to Google) salary.
And speaking of #3, let me tell you a story of one financial company I spent a year at - notorious for their employees laziness and incompetence. My team had a PM, alright. And a couple of business analysts aka BSAs. I don’t remember all of the details of that project’s misery. It was part of the typical 90% failure rate if you are wondering - dead even before I was hired.
However I do remember the typical shuffle that ensued after it was officially pronounced dead. I witnessed it several times before. A moronic BSA was “demoted” (reassigned with the same pay) to the PM of another project. Which of course failed a year after. That should tell you where PMs tasked with running Scrums are in the IT hierarchy.
Better “project management” alternatives? No PMI certified project managers at all. Look at distributed (to say the least) open-source teams - from little GitHub projects to Linux. No corporate overhead. No PMs. No MBAs trying to “facilitate” “communication” and “collaboration”. Just engineers doing their job. Why such compulsive-obsessive desire to “organize” and improve old practices like “waterfall”? Chances are, if you come from the same bureaucratic (defense, government, Fortune 100) background, you’d end up with the same crap. Read above on the glue code. I didn’t try to “optimize” it via a cute persistence aka “I/O” framework like Grails or Play. I discarded it by choosing a different paradigm.
Needless to say, and I feel for you as a “manager”, one cannot magically compensate for the low salary with phony “perks”, motivational speeches, or great work environment/process, that inspires engineers to work hard by allegedly making it “enjoyable”. Anyone’s motivation starts with the proper (monetary) reward. Only then you can add perks like beer dispensers and work/life balance. Project Management cannot be used to cover for CFO’s greed. Nothing can “align” someone’s interests with the company’s, if you are not paying that person well or offering the career future. Pay the fair wage, and we, college-educated professionals, will surely figure out what to do in which sequence."
Vatsalya Jain,"Former Vice President, Software",2024,3,"One fundamental challenge I see is the emphasis of ‘doing’ Agile and lot of focus of the Scrum Master and Project Managers to ensure things are done to adhere to the agile guidelines.
For eg: Agile speaks about estimating a story in terms of story points, which is a comparative analysis for a developer vis a vis the development he has done in the past.
However, many of the scrum masters I speak to during interviews state that
they follow the logic of 8hrs = 1 story point
When I probe them how would this hold true for Person A ( who is a developer ) vs Person B ( who is an architect) , the answers are not there yet.
While Agile is a framework for the teams to enable to work efficiently, the governance around the measurements mechanisms and the lack of understanding of true agile principles is the biggest challenge."
Joe Seabreeze,Programming for many years,2020,12,"Because it doesn’t work for every company/team for various reasons:
If you have bad project/product management from the start, Agile isn’t going to fix it. It will likely make things worse.
Some companies try to institute Agile practices even if their business model doesn’t require it.
Many managers don’t really understand what Agile is, so they’ll sometimes use it as a way to micro-manage. It’s easy to use an agile process for micro-management, which is a very stressful and unproductive way to manage a team.
It’s not easy for a service-oriented and reactive business to execute Agile development. How can a developer get anything done in a static sprint when they’re getting pulled into meetings and answering emails half the time? Basically, your development work slips every week, putting too much pressure on the developer.
If your business is highly regulated, it’s not easy to incorporate Agile development. Part of Agile is to reduce unnecessary documentation. With a highly regulated business, it’s all about documentation.
If your software platform has a large code base and doesn’t have a modular architecture, 2 week sprints are practically impossible. And once you start heading into one month sprints, well, Agile stops having any benefit.
If your whole organization doesn’t support Agile, then it will likely break down in the smaller teams that do. It’s not easy to work in Agile teams when your work environment as a whole isn’t agile.
The tagline for Agile at its inception was “For Developers”. In more cases than none, it has been the opposite. Poor Agile execution and micro-management puts way too much pressure on developers, so developers feel betrayed by a system that was suppose to be for them.
In the end, there are just way too many factors that can mess things up when using Agile. So it’s likely that low quality and emotional stress will outweigh any of the benefits that Agile is supposed to provide."
Jeremy Stafford,Software Engineer/Architect,2021,84,"I’ve always felt that the biggest problem with Scrum isn’t Scrum. It’s non-engineer type people trying to bastardize Scrum into something that works for them. We’ve had an uprising and have kicked managers out of the Scrum process and it has been amazing, so here’s my opinion on it:
Scrum is a development process, not a people management process
In short, separate the Scrum process from project management. Leaders will coordinate with each other, but they shall not intermingle processes, and engineers will only be involved with the parts in which they have a stake (like grooming or system design). As I mentioned, in my experience, the moment that management tries to change Scrum to meet their needs, it falls apart and turns into a complete shit show with which most of us are quite familiar. We’ve basically drawn the line around something like “If you’re not the product owner, scrum master, or engineer, then you have no part in the Scrum process. Your contribution is typically part of a different process. End of story.” When those within this inner circle (so to speak) carry a conflict of interest, we just stay vigilant to identify and call out when we feel non-Scrum processes are beginning to leak in. For example, when a manager or project manager acting as a scrum master. It took a while to get certain parties to accept that approach, but we’re there and it’s working now. Side note: the unforeseen benefit was that it gave each party more bandwidth to focus on their particular part of the machine.
Basically, get good at identifying what is a Scrum problem vs. what is a management (project, product, team, etc.) problem, and do everything you can to keep them separate. Figure out the bridge between Scrum and management and develop it. Life will be good.
While one can argue that Scrum is a form of management, your focus and attitude towards it will greatly affect how you solve problems. That said, Scrum needs to be focused on development, not management. It is a team concept for software creation where all of the members worth together as one whole to deliver the sprint commitments and perform retrospectives on what they have learned every sprint so that they can grow from it. It’s not about pushing deadlines. The only deadline the team should ever care about is the end of the current sprint. True story.
WTF, you say?! How can you say that a team should only care about the sprint commitment and not the deliverable date?? It’s not that we don’t care. It’s just that it doesn’t help anyone to focus too far into the future knowing that things will always change. A team can only push out so much in given period of time before things start to fall apart. If you’re going to do Scrum, then you have to accept that a team’s velocity won’t change much after it is established and they will work at about that speed, always, and project planning and prioritization needs to operate around that fact. That said, this highlights the fact that larger deadlines are someone else’s problem. What I mean by that is that you focus on grooming the backlog, and the team has a part in that. After that, it is a management problem OUTSIDE of the Scrum process to line up the priorities and play with projected delivery dates etc. It is their responsibility to realize when some deadlines cannot be met without additional resources based on the teams (or multiple teams) velocity. If you can accept that, then this gets much easier. Fail to accept that and you will fall into a cycle of denial, where you try to get clever with how things are split up and instead of delivering more things on time, you’ll really just have more things in-flight that may or may not ever get delivered, or they’ll be delivered in effed up states and you’ll spend even more time trying to get it straightened out, effectively taking far LONGER than it would have to just accept the truth of velocity. I think this is the biggest struggle I’ve had to deal with many times in the past — denial.
Micromanaging the time of engineers and using Scrum as a whip with which to beat them is the ANTI-Scrum. It accomplishes nothing other than pissing people off and it is a large portion of why people generally hate Scrum.
When Scrum is executed correctly and without the management stank on it, I actually like it. I like that:
Stories aren’t arbitrary. They are fully functional slices of functionality that add value to a product. They are written from an end-user point of view and they focus on solving a problem and providing value, not technical details. I used to hate hearing this over and over until it finally clicked how to make it work.
The team is forced to work together finish and deliver complete entire stories instead of being scattered in terms of “tasks” being doled out.
Teams are self-organizing instead of having managers tell them specifically what to work on on the day-to-day.
During the sprint, communication between team-members is an obvious must, but they’re supposed to be also interacting with the product owner. If the product owner isn’t easily accessible by the team, then the setup is wrong. I should literally be able to turn around and say “hey look at this, is that what you were thinking?”
At the end of a sprint, during ceremonies there is a demo of this functionality and everyone gets to feel accomplished on a short iteration (e.g. 2 weeks). People complain about the ceremonies being a waste of time, but they’re not (they’re actually extremely important) so long as they’re being implemented correctly. It’s supposed to be your short turnaround feedback session - one session for the stakeholders, one session for the devs. This is what keeps everyone on the same page for more of the time.
It establishes a pretty reliable cadence of delivery. Everyone knows what to expect and everyone knows what is expected of them.
To me, proper Scrum should feel like a small group of friends trying to bring to life an idea they had over lunch. If each sprint doesn’t feel like that, you’re probably not doing it right.
If you’re drowning in process like timekeeping and managing dependencies, then you’re probably not doing it right.
If it feels like a whip with which the team is beaten, then you are certainly not doing it right.
If you’re writing stories that are estimated for a single person to accomplish, then you’re not doing it right. A story is a story — the team will decide how it is worked and by whom.
If you find that you’re constantly writing stories with particular people in mind or if you’re trying to adjust the points based on how many people would work on it, then you’re not doing it right. This is tough to get your head around, but it is true. Points are effort/complexity, not collective punch cards.
If the result of a finished story can’t be used/tested by someone, then you’re not doing it (writing the story) right.
If you find yourself constantly splitting stories up to deal with dependencies between teams (e.g. there’s a front-end story and a back-end story) then you’re not doing it right. If you’re doing that, then your team isn’t cross-functional.
Extra *wrong* points if you’re splitting stories and then adding the effort estimates together. One deliverable is one deliverable. Splitting it into a 3 point frontend story and a 5 point backend story does NOT equal 8 points. In all reality, it is likely a single 5 point story. You’re probably thinking of two people working them, therefore you need to learn to parallelize. If it’s a single person, then it’s probably a single 8 point story or it’s simply too big for a single deliverable. If you’re thinking to yourself “well that sounds nice on paper but…” then you have some more learning to do.
If you’re not delivering the result of a sprint to QA, you’re not doing it right. The end of a sprint should produce testable deliverables, even if it’s not ready to deploy into production.
If you’re equating effort estimates (that Fibonacci pattern) to time spent on a story, then you’re not doing it right. If you’re tracking hours as an indicator of progress, you’re not doing it right.
If it feels like a compressed waterfall, then you’re not doing it right.
To be honest, if you’re doing just about any of the things that people are complaining about here on this thread (as being a reason they hate Scrum) then you’re not doing it right. Most shops aren’t doing it right. It’s not really Scrum that’s the problem. As per usual, it’s management that is the problem.
It can be challenging at times to write proper stories, and that’s on the Product Owner. For example, size/scope is always an issue, but discovering dependencies is probably even more complicated (do we incorporate it as part of the story, or is there a large technical effort that needs to be accomplished to lay out some infrastructure, for example). During these times, they should work with the team lead and anyone else that should have input on it. They should improve over time as the team equalizes.
At my company, we cut management completely (other than the scrum master and product owner of course) out of the Scrum process and it has been FANTASTIC. We brought it back to basics: what are we building and why, and what do we need to do in order to make it happen. To make sure management is still getting what they need, they have management meetings which do not involve the engineers. In those meetings, they can beat each other up over deadlines and projected dates etc. This also goes for team management. If there are weak links on the team, everyone already knows who they are. Dealing with them has nothing to do with Scrum. Those are management processes and you should deal with them separately of the Scrum process. When it comes to the Scrum process, the team is who manages the team, point blank.
“But my certified SCRUM coach said…” — listen, I’m going to be honest with you. Out of dozens of certified SCRUM coaches that I’ve worked with or interviewed, with their MBAs or PhDs etc. in project management or what have you, 9 out of 10 of them came from a strictly project management background and have only worked for the same company’s that keep screwing up SCRUM in ways we just talked about. Very few of them actually had any real experience developing software, let alone actually working on a SCRUM team. So personally, I’d say having a coach is probably better than not having a coach, but take their input with a grain of salt and remember the Agile Manifesto (if it ain’t Agile, then it can’t be Agile Scrum) and call them out on their BS when they start imposing their business speak on you. Ultimately, the business wins, but if you really want to mature to the most productive team you can be, you need to push back.
The philosophy we use as guide rails is basically just to allow engineers to focus on engineering, and that is the most important part."
Sneha Gangan,Studied at LFS,2015,15,First of all the time Limit. It stops the creative process that takes time to develop.
Alexandra,Marketing Manager at Onix-Systems (2018–present),2021,14,"Well, Agile is:
Individual over process
Software over documentation
Change over a plan
Basically, Agile is about moving fast, reacting to change, and don’t stumble. Something doesn’t work? Don’t fret, go try something else.
Why is it hated when it seems like a freestyle methodology that lets creativity flow and doesn’t get bothered with tons of documentation?
Lack of understanding. Wrongly understood the concept of Agile often results in implementing structure and hierarchy from the previous experiences. Such a combination makes employees feel like they are slaves rather than freestyle and creative.
Wrong orientation. It is also a result of a lack of understanding. Refused flexibility, strict rule-following, and forcing all that onto employees creates an unhealthy and non-Agile environment which results in disliking the methodology.
Refusing to change. The main reason that makes people violate Agile methodology is human nature. Throughout life, we all are molded to listen and take orders from our superiors - parents, teachers, mentors, bosses, etc. However, when applied in a true sense Agility does not support blaming others and promotes taking responsibility for their actions. This is one aspect that makes individuals dislike Agile."
Bob Kerns,Programmer and language developer for 54 years,2016,29,"I don’t hate Agile.
I hate standups.
I fully support the intended goal.
But they’re a painful synchronization point in an asynchronous process. They’re an interruption and a distraction.
They can be flat-out impossible for a distributed team.
And they’re a point that management injects themselves to micromanage.
I figure the management part is not really the problem. If you’re going to be interrupted daily and forced to all synchronize what you’re doing and where you are, well, management will micromanage anyway; you may as well get it out of the way in the standup!
But management does make them more expensive — because managers attend more than one standup, and have other meetings and interruptions they have to deal with (I’ve been a manager!) we developers end up going “Is the standup happening yet? No? When?” in a cycle, until it happens.
Meanwhile, the communication that should happen in a standup — well, it rarely happens there in my experience. And I don’t even see that as a problem.
I see needing standups as a symptom of inadequate communication and visibility. Standups can be a solution, but they’re not the optimal one.
The thing is, though — that doesn’t make me hate Agile. Agile’s not supposed to be a straightjacket. I’ll do standups, if that’s what it takes to keep management off our backs, or if it makes our team work better.
I’ll just try to find better ways and make them obsolete.
I’m not a fan of pair programming, as a full-time practice, either.
First, management — well, just no. You can’t even discuss it, it’s so far outside their worldview. I’ve never been in an environment in which even a trial stood a snowball’s chance in hell of being considered.
Well, I heard management say “yes” once, but they did “no”. I don’t think even a full man-day was ever spent pair programming.
Second, as a full-time practice, it’s another straightjacket, locking two developers onto the same timeline. One is sick; one has a meeting
It can greatly slow down some tasks. Distraction and communication overhead can impede experimentation and exploration.
That doesn’t sound very agile to me.
But that doesn’t make me hate agile, either. Actually, I wish I could do MORE pair programming, especially at some critical points. Integration. Or after exploring and experimenting a bit, considering where to take it for real, and starting that process, feedback, further exploration with more inputs. Or maybe back to the drawing board — singly or together.
I’m tired of being the only guy on the team who knows this huge mass of code (either mine or inherited) and this even bigger mass of data. Pair programming is a great way to spread knowledge — and coincidentally, develop good teamwork and culture!
The thing is, Agile isn’t really a process. It’s a value. And whether it lets us write better code, or better respond to the unending demands of management who are trying to deal with the unending demands of the market, it’s about ...
Access this answer and support the author as a Quora+ subscriber
Access all answers reserved by
Bob Kerns
for Quora+ subscribers
Access exclusive answers from thousands more participating creators in Quora+
Browse ad‑free and support creators
Start free trial
Learn more"
Richard Cownie,software developer since 1983,2016,22,"The underlying principles of Agile - know where you’re at, deliver working iterations frequently, accept that the spec is going to change frequently - are fine.
But my experience of it in practice has been that bad software development managers use Agile-derived mechanisms to implement a totally counterproductive level of micromanagement.
So, for example:
The manager doesn’t have time to read the code and understand the technical issues in detail. But they can look at the Kanban board. So he/she thinks the Kanban board is reality.
The Kanban board is a vastly oversimplified, and often totally bogus, model of reality. Reality is the code, and the developers, and the bugs. Mostly the bugs.
The Kanban view, and the story points, and sprints, all encourage the delusion that software development is like bricklaying, i.e. a highly predictable task which can be done at a consistent speed by moderately competent people, with well-specified chunks of work which can be easily subdivided with few dependencies. As long as all the walls are the same height, and meet at the corners, your’re good.
SOFTWARE DEVLOPMENT IS NOT LIKE BRICKLAYING! NOT. LIKE. BRICKLAYING!
Now the manager thinks the Kanban board, and the brief updates in standup meetings, are the reality. And then the manager gets frustrated when the it turns out that the bricklayers aren’t laying bricks at a consistent and predictable rate and the tasks in each sprint aren’t being finished. And the project is behind schedule.
The project is behind schedule, so what happens in the next sprint ? Rather than finding more resources (which is hard), or dropping features (which in Agile methodology is the correct response), the manager decides to a) argue down the point estimates for new tasks (which moves the Kanban view further away from reality); b) put more pressure on developers.
One deep principle of Agile is the importance of resolving issues in face-to-face meetings. But over the last decade bean-counting management have moved towards offshore development with teams in India, China etc. because the cost per hour of bricklayers (sorry, software developers) there is so much cheaper. But a) those teams aren’t available for face-to-face meetings; b) often they’re in timezones such that the working day doesn’t even overlap; c) language/accent and cultural differences can be an obstacle to effective communication; d) those teams are mostly less-experienced bricklayers (sorry, software developers). Of course the manager, who is subject to th delusion that the Kanban board is reality, goes along with this because it’s easy to share the Kanban board of remote teams.
After a year or so of this, the better developers on the team quit and find something less frustrating to do. And then the whole organization is in a death spiral.
I have been thinking that software development should be managed much more like patient care in a hospital, than like bricklaying. The normal state of software is to be deeply unhealthy, with many bugs and performance issues. The primary goal of the development team is to keep the patient alive - i.e. to keep the bugs sufficiently under control that the software can be usable for customers (without crashing, giving seriously incorrect behavior, or going so slow as to be useless). Each particular issue is a symptom for which we may need considerable diagnostic effort/debugging to understand the underlying cause, and then may need to attempt various different therapeutic measures/bugfixes to solve it - and often we don’t know what’s going to work until we try it.
Now, parts of this patient-care process can be managed like bricklaying - e.g. once we’ve decided that certain patients need certain well-understood forms of surgery, then scheduling the OR and the surgeon is simple. But other parts really can’t - if a patient comes in with unusual symptoms, the diagnosis may take a while. Different patients respond well or badly to different treatments.
The real magic of software design comes in figuring how to develop a complex software system in such a way that while it will definitely have bugs, it won’t have a large number of *mysterious* bugs. That requires a certain amount of paranoid coding at major interfaces, and designing/coding for a high level of visibility of the system behavior - patients with a built-in X-ray machine."
Jaimi McEntire,Software development manager,2016,20,"The problem with most Agile development implementations (and when I say this, I mean Scrum, as that is what people mostly use) is that it trades Productivity for Predictability. It can feel like you are getting more done and have more freedom, when in actuality for most, you are being micromanaged and getting less done - it’s just more visible. Instead of the old “death march” at the end of the release, it either becomes a series of mini-death marches at the end of each sprint, or the team pads their work, and they run out of work in the middle of each sprint. The nature of an agile team with embedded QA developers is also an issue. Because the work isn’t “done” until it is tested, what you end up with is the QA person having no work at the beginning of a sprint, and being overworked at the end. People suggest all sorts of things to address this - “Have the QA guy work on test scripts. All developers should test.” etc. However, there’s only so many test scripts, and developers should test, but you find there are those who just choose not to.
To address this, I recommend getting OFF the scrum bandwagon. The concept of being “done with all work items” at the end of a sprint is counter-productive. You need to level out the workload, instead of having a bell-curve.
I’m not the first or only person to realize these things. We first started agile development about 6 years ago. It was a slight improvement over our old waterfall process, but the teams were not happy with the cyclical nature and the unbalanced workflow. So I went looking around, and found that many others were unhappy as well. Then I stumbled onto Kanban. Or actually, what is referred to as Scrumban - Scrum with a kanban model. It has the advantages of scrum - working in bitesize chunks - but without the feast-or-famine workflow. We were able to take this model, and fix the scrum process. Our first year saw a 62% increase in productivity. Our second, as people became used to the process, was over 40%. We can take features in, and people can look and say “There’s no way you can get this done in a year”, and we haven’t missed a release or dropped any feature (without replacing it) since the beginning — and that’s 4 release cycles now.
Lean Software Engineering"
Kelly Schrock,Been to China... Once.,2016,19,"To be clear, I think most developers actually like agile development: That is, the practice of engaging the customer/end user(s) and showing them progress on a regular basis, only building what’s needed, and letting requirements take shape as the customer learns more about the system in question. There are many good things about it, the primary benefit being agility.
What developers don’t like is Agile(TM), the branded project-management practice that seemingly stands as nothing more than a tool for micromanaging developers and treating them as slaves in the belly of an oar-driven ship. In the worst cases, it puts extreme pressure on the people doing the actual development work to deliver “tasks” within a specific timeframe, without giving much (if any) thought to the overall design, the fact that bugs will appear and need addressing, and without any input. The one thing the approach lacks the most is agility. This is usually the fault of the people running the project, not the process itself. So Agile(TM) gets much of the blame."
Vineel Shah,"software engineering manager, dad",2016,19,"Problem 1 — Agile is Brittle
A good methodology works in most types of organizations, on most kinds of projects, for teams with varying levels of experience. Most orgs that implement a methodology are going to adapt it to the realities of their teams, managers, business clients, industry, schedules, quality levels, etc.
Study the few examples of spectacularly successful Agile projects and you’ll hear a common refrain: “They did Agile right!” They were able to get every part of the company to buy into the way Agile treats requirements, the way Agile treats process, the way Agile treats progress, and the way Agile delivers end results.
Study the overwhelming quantity of not very successful Agile projects — or spectacularly failed Agile projects — and you’ll hear a common refrain: “They did Agile wrong.” Most orgs get at least a few things “wrong” according to Agile — it’s usually that the expectations of the business folks. They never get what they really want and they have to ask for it again and again. Meanwhile, the developers get sick of “failing” and the whole company feels disappointed and angry. Soon they throw out the method or they twist it into something that works mediocrely and they still call it “Agile.”
Problem 2 — Agile is Easy to Say
I can’t tell you the number of managers I’ve seen that couldn’t manage their way out of a box — and adopt Agile as a way to wave their hands and talk a lot to distract people from noticing. Somewhere between the scrums and the burndowns and the point estimates the big picture gets obscured, and a bad manager feels relief.
Problem 3 — The People That Are Good at Agile Could Use Any Methodology
Here’s the only universal truth in software — smart people working in small teams on small projects with clear requirements can make software, regardless of the “process” they adhere to. All the people I know that love Agile build small apps — 10k lines or even less — most of the time. They’re good enough, and the projects are small enough, that they could use Waterfall, or just “Care About What You’re Building and Talk Alot,” and get similar results.
I don’t hate all the ideas in Agile — it came from eXtreme Programming which was some good thinking — but the Agile Religion has caused more harm than good. It’s less and less relevant in a world where one or two people can develop whole systems quickly using today’s powerful frameworks and languages."
Anonymous,"Upvoted by
Marcelo De Zen
, 15+ years as a software developer. and
Alan Mellor
, Started programming 8 bit computers in 1981",2016,20,"In a nutshell, I don't like it because it's nothing more than micromanagement and after nearly 10 years of higher education and another 10 years working , I don't feel the need to explain what I am doing everyday to some koolaid management suck.
Also I highly dislike getting treated like a fungible cog, and flung around to some new shit shovel every two weeks.
As an engineer, I want meaningful work. Nothing meaningful can be completed in two weeks. Also I want to be treated like an adult, like someone who understands their responsibilities.
Sure there are deadlines, that's a thing. Believe it or not we have been trained to handle deadlines. We have had high stake exams throughout university. Dissertations that were peer reviewed, publications, etc. We will generally pipe up if we know the deadline and think we can't make it.
Agile is nothing but insulting, infantilization of engineers. Planning poker?? Post its?? Scrum??? It's a total joke.
I am a software engineer. I write code. That's my fucking update."
Ilya Naoumov,Technical Lead Engineer at OnDeck (2014–present),2017,15,"Sometime Agile can be used to recreate the assembly factory methodology only with software. Product Managers and business stakeholder come up with the features they want implemented (rather, they try to do their best to explain what they want). Then the PM decides the priority of the work, which also comes down from the top of the organization. Some of the senior engineers will work on the design for the application, if it is sufficiently complex. Finally, the work is broken down into tiny tasks that can be accomplished in a two week spring. In the end, the engineer is just left to pick up the task at top of the backlog, and implement whatever s/he has been told to implement.
Generally, in well formed teams, the stack, conventions, and coding style is already well defined. As you can see, all that an engineer has to focus on is implementing the spec in the task, code coverage, and making sure s/he does all that as quickly as humanly possible. The software engineer ends up acting a small cog in the whole process of building out some feature for the business, much like an assembly line worker is tasked to tighten several lug nuts on a car that the factory builds. Ultimately, Agile takes autonomy away from the software engineer, and the engineer could ultimately be implementing a piece of software that s/he doesn’t understand how it fits in the broader picture. It’s all really dehumanizing, if you ask me."
Murray Robinson,Agile practitioner and evangelist.,2017,17,"Agile was created by software developers. Most developers love it. The few who hate agile do so because it's been severely distorted by command and control managers in their organisation to micromanage developers and make them work unpaid overtime. It's not agile they hate, it's horrible management. They just don’t realise it."
Scott Willis,"Embedded developer in Washington State, worked in medical",2016,15,"Agile is all about feedback loops. Distorted feedback causes problems. Would a syntax-highlighting editor that faked its results to make your code look good be helpful to you in any way?
Its very hard for a manager to not try to control what they are responsible for, to not turn what looks like a ""go faster"" or ""cost less"" knob, especially under pressure. When management pressures for low estimates, they are trying to make the project go faster or cost less. Wrong knob!
Perhaps the most important condition required for Agile to work is for management to be clear on the distinction between estimates (a measurement) and features (a control knob) and never push on estimates. Pushing for a low estimate is like pushing a speedometer needle higher: it doesn't make you go any faster, and now you don't know how fast you ARE going. If you punish a messenger who brings you bad (schedule or other) news, better get used to only hearing good news - until the bad news can't be hidden any more. If you want the truth about the state of a project, it had better both be safe and seem safe for people to tell it to you.
The best I've figured out is to ask for slightly pessimistic estimates, ask if there are any resources they need or any barriers that can be helped with, thank people for bringing 'bad' news to my attention, and explaining what I intend to do with the information - ease fears of 'being in trouble' for telling the truth (as they understand it).
Giving distorted feedback to your manager and the team you're working with, in order to look good or in response to pressure, is easy in the moment. Then there are consequences when they use this false feedback to make decisions. Give them the best, most accurate information you can; you'll be living with the results."
Ghost Orange,Author has 18.1K answers and 40.8M answer views,2016,19,"Because it is done incorrectly. My teams love it and Agile is perfect for making games. I’ve also used it on big clinical systems, where waterfall failed.
I totally agree with others here that say the failure is probably due to newer PM’s doing what they learned from lame trainers that never managed a project in their lives, working for certificate mill schools that invent a pile of useless classes to maximize earnings while confusing students. Vampires.
What you need to know is simple. It makes sense. What you need to do is only a little. High gain for low effort, so your effort goes to making software.
Review, plan, develop, repeat. This is not tricky.
Make estimates where 1 dev day = 5 hours on task. Leads task at 3 hours.
Devs calculate their own capacity, subtracting vacation, doctor’s appointments, et cetera. Add it up.
Make your plan by filling 85% of capacity for the period, with the most important remaining things. Commit to a sane plan.
Monitor results daily. No percentage complete allowed - binary, finished or not finished only. Countdown days. Fix any variances or problems as you go.
Make the work complete enough to be reviewable.
Take a hard look at what you got, with all stake holders and developers.
Go again.
This is a mental system, not a software system, not some patented process, not a certificate. I can do this on paper, in Excel, in a bug tracker, in Jira, Word, on a white board, Post-its, whatever. And you can too. Anyone can, that sticks to:
What is the goal?
What is left?
What is next?"
