Area Code;Date;Market;Market Size;Product;Product Line;Product Type;State;Type;Budget COGS;Budget Margin;Budget Profit;Budget Sales;COGS;Inventory;Margin;Marketing;Nombre d'enregistrements;Profit;Sales;Total Expenses
754;01/01/2012;East;Major Market;Decaf Espresso;Beans;Espresso;Florida;Decaf;$70;$100;$60;$170;$77;432;$103;$25;1;$50;$180;$53
239;01/01/2012;East;Major Market;Caffe Mocha;Beans;Espresso;Florida;Regular;$70;$110;$30;$180;$79;551;$111;$72;1;$9;$190;$102
754;01/01/2012;East;Major Market;Decaf Irish Cream;Beans;Coffee;Florida;Decaf;$80;$110;$70;$190;$84;500;$116;$26;1;$67;$200;$49
954;01/01/2012;East;Major Market;Colombian;Beans;Coffee;Florida;Regular;$80;$110;$70;$190;$84;651;$126;$27;1;$68;$210;$58
863;01/01/2012;East;Major Market;Chamomile;Leaves;Herbal Tea;Florida;Decaf;$30;$50;$30;$80;$48;623;$62;$15;1;$34;$110;$28
239;01/01/2012;East;Major Market;Lemon;Leaves;Herbal Tea;Florida;Decaf;$40;$50;$20;$90;$54;312;$66;$20;1;$13;$120;$53
772;01/01/2012;East;Major Market;Mint;Leaves;Herbal Tea;Florida;Decaf;$50;$60;$40;$110;$69;965;$81;$21;1;$39;$150;$42
508;01/01/2012;East;Major Market;Darjeeling;Leaves;Tea;Massachusetts;Regular;$30;$50;$40;$80;$32;821;$48;$8;1;$29;$80;$19
781;01/01/2012;East;Major Market;Green Tea;Leaves;Tea;Massachusetts;Regular;$30;$50;$40;$80;$32;456;$48;$8;1;$29;$80;$19
978;01/01/2012;East;Major Market;Regular Espresso;Beans;Espresso;Massachusetts;Regular;$160;$170;$110;$330;$170;1 091;$171;$47;1;$100;$341;$71
781;01/01/2012;East;Major Market;Caffe Mocha;Beans;Espresso;Massachusetts;Regular;$60;$60;($10);$120;$63;435;$63;$57;1;($23);$126;$86
413;01/01/2012;East;Major Market;Colombian;Beans;Coffee;Massachusetts;Regular;$60;$400;$360;$460;$72;558;$422;$23;1;$367;$494;$55
339;01/01/2012;East;Major Market;Lemon;Leaves;Herbal Tea;Massachusetts;Decaf;$40;$60;$30;$100;$58;338;$72;$22;1;$17;$130;$55
603;01/01/2012;East;Small Market;Darjeeling;Leaves;Tea;New Hampshire;Regular;$10;$30;$20;$40;$18;821;$27;$5;1;$10;$45;$17
603;01/01/2012;East;Small Market;Green Tea;Leaves;Tea;New Hampshire;Regular;$10;$30;$20;$40;$17;777;$26;$4;1;$11;$43;$15
603;01/01/2012;East;Small Market;Regular Espresso;Beans;Espresso;New Hampshire;Regular;$20;$40;$0;$60;$29;169;$36;$11;1;($8);$65;$44
603;01/01/2012;East;Small Market;Caffe Mocha;Beans;Espresso;New Hampshire;Regular;$30;$50;$0;$80;$37;261;$53;$34;1;($10);$90;$63
603;01/01/2012;East;Small Market;Amaretto;Beans;Coffee;New Hampshire;Regular;$30;$50;$30;$80;$38;241;$55;$12;1;$20;$93;$35
603;01/01/2012;East;Small Market;Colombian;Beans;Coffee;New Hampshire;Regular;$40;$70;$40;$110;$48;372;$72;$15;1;$25;$120;$47
603;01/01/2012;East;Small Market;Lemon;Leaves;Herbal Tea;New Hampshire;Decaf;$20;$30;$0;$50;$34;197;$42;$12;1;($4);$76;$46
347;01/01/2012;East;Major Market;Darjeeling;Leaves;Tea;New York;Regular;$100;$150;$120;$250;$95;821;$139;$26;1;$101;$234;$38
646;01/01/2012;East;Major Market;Earl Grey;Leaves;Tea;New York;Regular;$90;$140;$110;$230;$89;777;$130;$24;1;$94;$219;$36
347;01/01/2012;East;Major Market;Green Tea;Leaves;Tea;New York;Regular;$50;$90;$70;$140;$54;456;$80;$15;1;$54;$134;$26
631;01/01/2012;East;Major Market;Regular Espresso;Beans;Espresso;New York;Regular;$210;$270;$200;$480;$228;1 459;$262;$63;1;$175;$490;$87
315;01/01/2012;East;Major Market;Caffe Mocha;Beans;Espresso;New York;Regular;$100;($50);($170);$50;$105;725;($44);$95;1;($172);$61;$128
716;01/01/2012;East;Major Market;Colombian;Beans;Coffee;New York;Regular;$260;$380;$260;$640;$271;2 101;$407;$94;1;$262;$678;$145
607;01/01/2012;East;Major Market;Lemon;Leaves;Herbal Tea;New York;Decaf;$180;$190;$100;$370;$245;1 419;$238;$93;1;$111;$483;$127
845;01/01/2012;East;Major Market;Mint;Leaves;Herbal Tea;New York;Decaf;$150;($10);($70);$140;$207;965;($27);$64;1;($113);$180;$86
337;01/01/2012;South;Small Market;Caffe Mocha;Beans;Espresso;Louisiana;Regular;$50;$100;$80;$150;$67;400;$113;$20;1;$70;$180;$43
337;01/01/2012;South;Small Market;Decaf Espresso;Beans;Espresso;Louisiana;Decaf;$50;$70;$50;$120;$61;390;$89;$19;1;$48;$150;$41
337;01/01/2012;South;Small Market;Chamomile;Leaves;Herbal Tea;Louisiana;Decaf;$40;$60;$40;$100;$49;623;$63;$16;1;$35;$112;$28
504;01/01/2012;South;Small Market;Lemon;Leaves;Herbal Tea;Louisiana;Decaf;$80;$100;$40;$180;$85;494;$105;$32;1;$40;$190;$65
504;01/01/2012;South;Small Market;Caffe Latte;Beans;Espresso;Louisiana;Regular;$60;$90;$10;$150;$75;522;$105;$68;1;$8;$180;$97
225;01/01/2012;South;Small Market;Colombian;Beans;Coffee;Louisiana;Regular;$40;$60;$50;$100;$34;777;$51;$9;1;$30;$85;$21
985;01/01/2012;South;Small Market;Decaf Irish Cream;Beans;Coffee;Louisiana;Decaf;$40;$60;$50;$100;$33;777;$48;$9;1;$28;$81;$20
505;01/01/2012;South;Small Market;Caffe Mocha;Beans;Espresso;New Mexico;Regular;$30;$40;($10);$70;$37;261;$53;$34;1;($10);$90;$63
505;01/01/2012;South;Small Market;Decaf Espresso;Beans;Espresso;New Mexico;Decaf;$30;$40;$10;$70;$35;196;$47;$11;1;$9;$82;$38
505;01/01/2012;South;Small Market;Chamomile;Leaves;Herbal Tea;New Mexico;Decaf;$10;$30;$20;$40;$18;821;$27;$5;1;$11;$45;$16
505;01/01/2012;South;Small Market;Lemon;Leaves;Herbal Tea;New Mexico;Decaf;$20;$40;$20;$60;$28;965;$34;$8;1;$4;$62;$30
505;01/01/2012;South;Small Market;Caffe Latte;Beans;Espresso;New Mexico;Regular;$20;$30;$0;$50;$29;169;$36;$11;1;($8);$65;$44
505;01/01/2012;South;Small Market;Colombian;Beans;Coffee;New Mexico;Regular;$60;$90;$50;$150;$48;372;$72;$15;1;$26;$120;$46
505;01/01/2012;South;Small Market;Decaf Irish Cream;Beans;Coffee;New Mexico;Decaf;$110;$10;($30);$120;$88;525;$11;$27;1;($39);$99;$50
405;01/01/2012;South;Small Market;Caffe Mocha;Beans;Espresso;Oklahoma;Regular;$20;$40;$40;$60;$32;456;$48;$8;1;$28;$80;$20
405;01/01/2012;South;Small Market;Decaf Espresso;Beans;Espresso;Oklahoma;Decaf;$70;$110;$70;$180;$84;651;$126;$27;1;$67;$210;$59
918;01/01/2012;South;Small Market;Chamomile;Leaves;Herbal Tea;Oklahoma;Decaf;$50;$60;$20;$110;$54;312;$66;$20;1;$13;$120;$53
580;01/01/2012;South;Small Market;Lemon;Leaves;Herbal Tea;Oklahoma;Decaf;$70;$110;$30;$180;$79;551;$111;$72;1;$10;$190;$101
405;01/01/2012;South;Small Market;Caffe Latte;Beans;Espresso;Oklahoma;Regular;$70;$100;$70;$170;$84;500;$116;$26;1;$66;$200;$50
580;01/01/2012;South;Small Market;Colombian;Beans;Coffee;Oklahoma;Regular;$50;$70;$50;$120;$44;623;$56;$14;1;$29;$100;$27
580;01/01/2012;South;Small Market;Decaf Irish Cream;Beans;Coffee;Oklahoma;Decaf;$40;$60;$50;$100;$32;821;$48;$8;1;$28;$80;$20
325;01/01/2012;South;Major Market;Caffe Mocha;Beans;Espresso;Texas;Regular;$70;$110;$90;$180;$89;777;$130;$24;1;$95;$219;$35
956;01/01/2012;South;Major Market;Decaf Espresso;Beans;Espresso;Texas;Decaf;$40;$70;$60;$110;$54;456;$80;$15;1;$54;$134;$26
281;01/01/2012;South;Major Market;Chamomile;Leaves;Herbal Tea;Texas;Decaf;$50;$80;$50;$130;$60;336;$80;$19;1;$33;$140;$47
254;01/01/2012;South;Major Market;Lemon;Leaves;Herbal Tea;Texas;Decaf;$50;$80;$50;$130;$57;364;$83;$18;1;$42;$140;$41
830;01/01/2012;South;Major Market;Caffe Latte;Beans;Espresso;Texas;Regular;$60;$90;$50;$150;$72;558;$108;$23;1;$53;$180;$55
409;01/01/2012;South;Major Market;Colombian;Beans;Coffee;Texas;Regular;$260;$300;$220;$560;$207;965;$245;$64;1;$159;$452;$86
325;01/01/2012;South;Major Market;Decaf Irish Cream;Beans;Coffee;Texas;Decaf;$100;$130;$100;$230;$83;623;$107;$27;1;$68;$190;$39
435;01/01/2012;West;Small Market;Caffe Latte;Beans;Espresso;Utah;Regular;$40;$60;$40;$100;$46;777;$68;$12;1;$44;$114;$24
435;01/01/2012;West;Small Market;Caffe Mocha;Beans;Espresso;Utah;Regular;$40;$60;$40;$100;$49;623;$63;$16;1;$34;$112;$29
435;01/01/2012;West;Small Market;Decaf Espresso;Beans;Espresso;Utah;Decaf;$40;$70;$50;$110;$50;821;$73;$14;1;$47;$123;$26
801;01/01/2012;West;Small Market;Chamomile;Leaves;Herbal Tea;Utah;Decaf;$30;$50;$30;$80;$38;241;$55;$12;1;$21;$93;$34
435;01/01/2012;West;Small Market;Lemon;Leaves;Herbal Tea;Utah;Decaf;$40;$60;$30;$100;$48;372;$72;$15;1;$25;$120;$47
435;01/01/2012;West;Small Market;Mint;Leaves;Herbal Tea;Utah;Decaf;$70;$10;($30);$80;$88;525;$11;$27;1;($40);$99;$51
435;01/01/2012;West;Small Market;Darjeeling;Leaves;Tea;Utah;Regular;$20;$40;$0;$60;$37;261;$53;$34;1;($10);$90;$63
435;01/01/2012;West;Small Market;Earl Grey;Leaves;Tea;Utah;Regular;$20;$30;$10;$50;$35;196;$47;$11;1;$9;$82;$38
435;01/01/2012;West;Small Market;Green Tea;Leaves;Tea;Utah;Regular;$10;$30;$10;$40;$29;169;$36;$11;1;($9);$65;$45
801;01/01/2012;West;Small Market;Amaretto;Beans;Coffee;Utah;Regular;$90;$120;$80;$210;$78;965;$92;$24;1;$47;$170;$45
435;01/01/2012;West;Small Market;Colombian;Beans;Coffee;Utah;Regular;$60;$100;$70;$160;$55;312;$75;$18;1;$30;$130;$45
801;01/01/2012;West;Small Market;Decaf Irish Cream;Beans;Coffee;Utah;Decaf;$100;$130;$70;$230;$85;494;$105;$32;1;$39;$190;$66
661;01/01/2012;West;Major Market;Caffe Latte;Beans;Espresso;California;Regular;$210;$220;$150;$430;$228;1 459;$228;$63;1;$140;$456;$88
818;01/01/2012;West;Major Market;Caffe Mocha;Beans;Espresso;California;Regular;$100;$140;$20;$240;$105;725;$145;$95;1;$17;$250;$128
213;01/01/2012;West;Major Market;Decaf Espresso;Beans;Espresso;California;Decaf;$220;$300;$200;$520;$234;1 310;$312;$77;1;$203;$546;$109
510;01/01/2012;West;Major Market;Chamomile;Leaves;Herbal Tea;California;Decaf;$80;$120;$100;$200;$95;821;$139;$26;1;$102;$234;$37
310;01/01/2012;West;Major Market;Lemon;Leaves;Herbal Tea;California;Decaf;$170;$220;$160;$390;$207;965;$245;$64;1;$160;$452;$85
707;01/01/2012;West;Major Market;Mint;Leaves;Herbal Tea;California;Decaf;$70;$90;$60;$160;$83;623;$107;$27;1;$67;$190;$40
619;01/01/2012;West;Major Market;Darjeeling;Leaves;Tea;California;Regular;$50;$90;$80;$140;$89;777;$130;$24;1;$94;$219;$36
650;01/01/2012;West;Major Market;Earl Grey;Leaves;Tea;California;Regular;$30;$60;$60;$90;$54;456;$80;$15;1;$54;$134;$26
760;01/01/2012;West;Major Market;Green Tea;Leaves;Tea;California;Regular;$40;$80;$50;$120;$72;558;$108;$23;1;$54;$180;$54
916;01/01/2012;West;Major Market;Amaretto;Beans;Coffee;California;Regular;$110;$70;$30;$180;$95;608;$50;$30;1;($2);$145;$52
559;01/01/2012;West;Major Market;Colombian;Beans;Coffee;California;Regular;$340;$500;$370;$840;$271;2 101;$407;$94;1;$262;$678;$145
650;01/01/2012;West;Major Market;Decaf Irish Cream;Beans;Coffee;California;Decaf;$180;($40);($120);$140;$144;862;($26);$47;1;($117);$118;$91
775;01/01/2012;West;Small Market;Caffe Latte;Beans;Espresso;Nevada;Regular;$10;$30;$20;$40;$17;777;$26;$4;1;$11;$43;$15
702;01/01/2012;West;Small Market;Caffe Mocha;Beans;Espresso;Nevada;Regular;$10;$30;$20;$40;$18;821;$27;$5;1;$10;$45;$17
775;01/01/2012;West;Small Market;Decaf Espresso;Beans;Espresso;Nevada;Decaf;$10;$30;$20;$40;$17;777;$26;$4;1;$11;$43;$15
775;01/01/2012;West;Small Market;Decaf Irish Cream;Beans;Coffee;Nevada;Decaf;$30;$40;$20;$70;$28;965;$34;$8;1;$4;$62;$30
702;01/01/2012;West;Small Market;Chamomile;Leaves;Herbal Tea;Nevada;Decaf;$90;$130;$30;$220;$105;725;$145;$95;1;$16;$250;$129
775;01/01/2012;West;Small Market;Lemon;Leaves;Herbal Tea;Nevada;Decaf;$120;$180;$120;$300;$144;862;$201;$47;1;$111;$345;$90
702;01/01/2012;West;Small Market;Mint;Leaves;Herbal Tea;Nevada;Decaf;$80;$120;$90;$200;$95;608;$139;$30;1;$86;$234;$53
775;01/01/2012;West;Small Market;Darjeeling;Leaves;Tea;Nevada;Regular;$150;$220;$150;$370;$234;1 310;$312;$77;1;$203;$546;$109
775;01/01/2012;West;Small Market;Earl Grey;Leaves;Tea;Nevada;Regular;$150;$160;$100;$310;$228;1 459;$228;$63;1;$141;$456;$87
702;01/01/2012;West;Small Market;Green Tea;Leaves;Tea;Nevada;Regular;$160;($160);($240);$0;$245;1 419;($245);$93;1;($354);$17;$126
702;01/01/2012;West;Small Market;Colombian;Beans;Coffee;Nevada;Regular;$40;$50;$10;$90;$34;197;$42;$12;1;($3);$76;$45
503;01/01/2012;West;Small Market;Caffe Latte;Beans;Espresso;Oregon;Regular;$50;$70;$20;$120;$58;338;$72;$22;1;$16;$130;$56
503;01/01/2012;West;Small Market;Caffe Mocha;Beans;Espresso;Oregon;Regular;$50;$80;$50;$130;$60;336;$80;$19;1;$33;$140;$47
971;01/01/2012;West;Small Market;Decaf Espresso;Beans;Espresso;Oregon;Decaf;$160;$160;$100;$320;$170;1 091;$171;$47;1;$99;$341;$72
971;01/01/2012;West;Small Market;Decaf Irish Cream;Beans;Coffee;Oregon;Decaf;$70;$100;$70;$170;$57;364;$83;$18;1;$42;$140;$41
971;01/01/2012;West;Small Market;Chamomile;Leaves;Herbal Tea;Oregon;Decaf;$30;$40;$40;$70;$36;777;$54;$10;1;$33;$90;$21
503;01/01/2012;West;Small Market;Lemon;Leaves;Herbal Tea;Oregon;Decaf;$30;$50;$30;$80;$44;623;$56;$14;1;$29;$100;$27
971;01/01/2012;West;Small Market;Darjeeling;Leaves;Tea;Oregon;Regular;$20;$30;$30;$50;$32;456;$48;$8;1;$28;$80;$20
503;01/01/2012;West;Small Market;Earl Grey;Leaves;Tea;Oregon;Regular;$50;$90;$60;$140;$84;651;$126;$27;1;$68;$210;$58
541;01/01/2012;West;Small Market;Green Tea;Leaves;Tea;Oregon;Regular;$50;$80;$50;$130;$84;500;$116;$26;1;$67;$200;$49
541;01/01/2012;West;Small Market;Amaretto;Beans;Coffee;Oregon;Regular;$70;$110;$40;$180;$63;435;$87;$57;1;$1;$150;$86
503;01/01/2012;West;Small Market;Colombian;Beans;Coffee;Oregon;Regular;$80;$120;$60;$200;$67;400;$93;$22;1;$28;$160;$65
425;01/01/2012;West;Small Market;Caffe Latte;Beans;Espresso;Washington;Regular;$40;$60;$40;$100;$48;623;$62;$15;1;$35;$110;$27
253;01/01/2012;West;Small Market;Caffe Mocha;Beans;Espresso;Washington;Regular;$50;$60;$20;$110;$54;312;$66;$20;1;$13;$120;$53
206;01/01/2012;West;Small Market;Decaf Espresso;Beans;Espresso;Washington;Decaf;$60;$80;$60;$140;$69;965;$81;$21;1;$39;$150;$42
509;01/01/2012;West;Small Market;Decaf Irish Cream;Beans;Coffee;Washington;Decaf;$90;$140;$60;$230;$79;551;$111;$72;1;$9;$190;$102
206;01/01/2012;West;Small Market;Chamomile;Leaves;Herbal Tea;Washington;Decaf;$100;$170;$120;$270;$124;961;$186;$40;1;$115;$310;$71
360;01/01/2012;West;Small Market;Lemon;Leaves;Herbal Tea;Washington;Decaf;$20;$50;$50;$70;$34;777;$51;$9;1;$30;$85;$21
360;01/01/2012;West;Small Market;Darjeeling;Leaves;Tea;Washington;Regular;$40;$80;$50;$120;$67;400;$113;$20;1;$70;$180;$43
253;01/01/2012;West;Small Market;Earl Grey;Leaves;Tea;Washington;Regular;$40;$60;$40;$100;$61;390;$89;$19;1;$48;$150;$41
360;01/01/2012;West;Small Market;Green Tea;Leaves;Tea;Washington;Regular;$40;$80;$20;$120;$75;522;$105;$68;1;$8;$180;$97
206;01/01/2012;West;Small Market;Colombian;Beans;Coffee;Washington;Regular;$60;$100;$70;$160;$53;338;$77;$16;1;$38;$130;$39
303;01/02/2012;Central;Major Market;Amaretto;Beans;Coffee;Colorado;Regular;$100;$150;$120;$250;$99;766;$144;$27;1;$105;$243;$39
720;01/02/2012;Central;Major Market;Colombian;Beans;Coffee;Colorado;Regular;$80;$110;$80;$190;$83;613;$107;$27;1;$68;$190;$39
