Author,Publication Date,Review
com,"on Oct 30, 2022","I’ve seen this work really well in a successful globally-distributed business with a few thousand employees, the majority being devs. The outcomes of building rapport between people who work intensely with each other a few weeks a year is hard to beat, except maybe by the impact of getting whole of business alignment including bigger and bigger groups inside the magic circle.A couple of times a year, commercial, product and tech folks would run sort of iterative challenge/ opportunity/ response/ scoping exercises within their product area, then run a couple cross-area starting with most adjacent and ending at whole business. There’d be a roadshow cycle in major locations and online for all staff.A big investment of time, but a lot of the priority and coordination issues, as well as unexploded bombs would come out of the woodwork.For me it was interesting to see how this kind of regular big investment in time meant that the whole org ran very lean and very client- and market-responsive."
cpeterso,"on Oct 30, 2022","Here's a 2018 GDC session about the game developer Bungie using ""big room planning"". Once a quarter, 300 people (40 dev teams) come together in one big room to collaboratively plan their next quarter's deliverables and sprints.https://www.youtube.com/watch?v=ndPyhgorOKY"
marcosdumay,"on Oct 29, 2022","Getting everybody together once in a long while, and synchronizing a ""what are you working on?"" is a good exercise.But only if that while is long."
jimmaswell,"on Oct 29, 2022","It's absolutely useless to me. I cannot possibly sit there for hours, listen to other teams drone on about things that have nothing to do with me, and be expected to retain any of it. I can barely tolerate the ""smaller"" weekly ones where I have to listen for my name to read my script I wrote about what I did last week, and I'm very thankful for work from home because for the super long company-wide bullshit meetings where I don't participate I can simply mute it."
quickthrower2,"on Oct 29, 2022",I am in two minds about leads only vs. everyone. Obviously both have advantages.
pieterr,"on Oct 30, 2022","""What one programmer can do in one month, two programmers can do in two months."" - Fred Brooks"
swagtricker,"on Oct 29, 2022","Don't forget the classic parody of SAFe which shows it as the overblown ""waterfall in agile clothing"" that it is: LAFABLE. https://www.lafable.com/"
ButterWashed,"on Oct 29, 2022","I'm currently a year into a role as Lead SRE in team working in SAFe.  We plan five 2 week sprints for which we immediately write off 50% of our time as ""BAU activities"" and the rest of our time is spent lurching from one deliverable to another in the hope we actually achieve something before we get ""re-prioritised"" yet another time.  It's not even SRE, it's 2nd line support and platform engineering.
I really have no idea how SAFe works or how it's meant to work, but everyone seems happy so long as I complete my JIRA tickets on time because that's what the users want."
ethbr0,"on Oct 29, 2022",I worked for a SAFe company like that once.Took a salary cut for another job.Haven't regretted the choice for a second: life's too short to waste one's talent in service to a bad employer.
BizarreByte,"on Oct 29, 2022","I don't know if we claim to use SAFe were I work, but this sounds very similar to my experience. It frustrates me to no end, but as a contractor I don't get a say and the full time employees seem to be okay with the status quo.I am constantly amazed that any working software comes out of such a process, but against all odds it does."
yborg,"on Oct 29, 2022","I was originally trained as a lad in classic waterfall and was a CMM auditor at one point - I got SAFe certification a few years ago and my overwhelming impression was that they had replicated all of the flaws of these methodologies, just with the word ""agile"" inserted wherever possible. I suppose that it is the final representation of the principle that any revolution becomes the new orthodoxy in a generation and ends up as ritualized as what preceded it."
onli,"on Oct 29, 2022","I thought Scrum would be more a candidate for that, when the rituals from there become useless orthodoxy. If (since) SAFe implementations are just waterfall with all its flaws rebranded, it's more the counter-revolution disguising itself."
roguecoder,"on Oct 29, 2022","As soon as people forgot that Agile was about organizing workers & having management trade its power for more-valuable software, it was basically doomed.Executives would rather give money to the people who promised that they could get the more-valuable software without giving up any of their power and control."
electrondood,"on Oct 29, 2022","At my last company we used SAFe and I was blown away at how effective it was. Once a quarter, we had a 3-day event in which the entire next 3 months were planned out, with dependencies between teams, with wiggle room/flexibility, by the end of the event.I understand this can depend on how well it's implemented, but in my experience I've never seen anything like it before or since."
JamesSwift,"on Oct 29, 2022","It sounds like you had a healthy org. The problem with most other orgs is that they do the same planning, with the same care and attention paid that yours did. But then 2-4 weeks after, everything that was discussed and agreed upon and planned around is upended when ""priorities changed"" or ""something else came up"" (i.e. the wind slightly blew). For whatever reason, they feel like they are making more effective planning decisions now, by the seat of their pants, than they did when literally everyone was in the same room and putting real thought into the whole thing.Can you tell I'm not a fan?"
sanderjd,"on Oct 30, 2022","It's funny because I have the opposite criticism. What I dislike is that when people discover things that need to be done, there is all this pressure to wait months to prioritize that work. Not very ""agile""! I already dislike the pressure not to work on things we didn't have a conversation about in a sprint planning meeting, and that's only a week or few. Detailed planning months ahead just doesn't click with me; it feels like guesswork and I don't like guesswork.You say ""for whatever reason"", people feel like they are making more effective prioritization decisions in the present than they did in the past, as if there isn't a good reason, but there is: there is more information about the present in the present than there was in the past.To me, if you aren't updating a plan in real time as information comes into view, then you're missing opportunities."
JamesSwift,"on Oct 30, 2022","Yes, something unexpected should change things. I'm not talking about those situations. The situations I'm describing are artificial. The only thing that changed in my scenario is people started getting antsy and playing politics to get their thing more attention than some other thing, both of which were discussed and prioritized in the very detailed all-hands I'm referring to. Or some higher-up asked about when something was going to be done and that spooked the product owner.In the size of org that does SAFe, I would argue the real ""unexpected"" priorities that come in and require shifting significantly are few, and likely regulatory. And if you are in that sort of business environment then that unexpected stuff is also theoretically accounted for in the PI planning!"
sanderjd,"on Oct 30, 2022","I think more different kinds of organizations have started doing SAFe than you think!I agree that both real priority shift / additional information based changes and also politically and paranoia motivated changes occur, but I don't think it's as straightforward or obvious how to differentiate one from the other as you seem to be implying. I'm sure many of the clear cut priority shifts based on new information to me have been the obvious politically or fear motivated changes to other people with different context than me.Personally, I just think a better solution is to prioritize detailed work immediately before it is done, whenever possible."
quickthrower2,"on Oct 29, 2022",If something else came up is not allowed it means you need a perfect plan that survives contact with reality. This is possible for short tasks perhaps but not an entire team for 90 days.If they have completely ignored company priorities that is bad but often it is some technical glitch has come up that moving a box 1px to the left really wasn’t as easy as first thought.
sanderjd,"on Oct 30, 2022","Yeah, ""company priorities"" is the level I like longer horizon planning to be at. ""It's important that we achieve X, Y, and Z in the next quarter"", with well thought out priorities and clear communication, then let teams figure out how to deliver."
hef19898,"on Oct 29, 2022","Why does that sound so awefully familiar? Even worse when you throw in good old re-inventing the wheel, not revise the decisions that should be and giving Agile coacjes and scrum masters more influence over the content of what should be delivered than the actual domain experts doing the work. I'll let you guess what role I have in all of that right now..."
ResearchCode,"on Oct 29, 2022",Imagine taking a two day course and then going into the office of a law firm or a hospital and micromanaging the staff. Tragic that software engineers put up with this.
kqr,"on Oct 29, 2022","> Once a quarter, we had a 3-day event in which the entire next 3 months were planned out,This is the part I don't understand. What sort of business are you in where you can actually meaningfully predict which will be the most valuable opportunities and ideas that will come your way in the next three months?"
mvdwoord,"on Oct 29, 2022","I would honestly like to reverse this question...What sort of business can't look three months ahead?! Seriously, updating business logic rules to catch a trend or adjust for changing external conditions, I understand. But for software development?!"
tikhonj,"on Oct 29, 2022","You can predict some things, sure—but there's a massive leap from that to planning ""the  entire next 3 months""!If you can get a bunch of people into a room and plan out what everyone on a software team is doing for the next three months, there's a pretty clear cap on how creative or adaptable the work can be. What is everyone doing for the rest of the quarter? ""Executing""? Just filling in the ""obvious"" implementation details to program exactly what they're told?"
brightball,"on Oct 30, 2022",I guarantee your product team has enough things that they want done to plan your next 3 years.Getting a clearer picture of the next 3 months should be a piece of cake. As a bonus once it’s planned you should get to focus without a sudden shift in priorities.
kqr,"on Oct 30, 2022","Oh the product team has good ideas for the next decade. The question is how many of them have they actually had a real chance to validate with real users in production? Close to zero, in my experience. That's one reason why you want to be able to change priorities quickly.(Note: quickly, not suddenly. Bad performance in market validation should never come as a complete surprise. It always slowly dawns on you over the course of days/weeks.)Another reason for changing priorities quickly is that the specification drawn by the product team happens to be technically very complex because it interacts in unforeseen ways with other functionality, and this is discovered early in implementation.Basically, in product development, you're constantly running into things that either provide less value than expected, or cost more than expected. That's when you should do something else instead.Once you have a great idea, yes, you should sink all of your effort and focus into that to get it to market quickly. But the idea is that if you start cautiously and change your mind early and often, you can actually implement the winners with blazing speed later without looking back."
hackerfromthefu,"on Oct 30, 2022",This goes out the window if your org does any sort of sales or strategic initiatives that weren't in view of the product people you're working with.Which is most orgs I've worked with.
marcinzm,"on Oct 29, 2022",Your team is working on a dozen features for the next three months. After looking through the code to start implementing one feature (4 weeks into the 3 months) the team realizes there is need to change another team's API. The other team already has all their time booked with feature. Cue a cascading set of slightly changing priorities. Now multiply that by every team in the company hitting something like this.
tonyarkles,"on Oct 29, 2022","> After looking through the code to start implementing one feature (4 weeks into the 3 months) the team realizes there is need to change another team's API.On the estimation side of things, I've worked with teams that do estimates in concrete hours, days, weeks, etc, and teams that work in abstract feature points, bushels, etc. The number one factor for whether the estimates are successful is the time spent before providing the estimate to figure out what the actual scope of the task is. If you've planned and estimated a task and didn't discover the cross-team dependency during that planning, you've failed at planning. It happens. It sucks. It should be very rare.I've worked with teams where ""sprint planning"" every two weeks/whatever cadence is basically an entire engineering team getting pulled into a room for a morning, the manager/scrum-master/whatever pulls up their backlog and starts picking tasks off the top. The team is expected to provide estimate efforts on the fly in the meeting, and then expected to spend the next two weeks perfectly executing on the work they've committed to. How in the hell is a process like that going to allow people to really think through the issues that are going to arise (like needing an API change on another team, or even verifying that a 3rd-party API is compatible with what the task is trying to achieve)? These teams constantly run into the issue you've described and it absolutely sucks for everyone (the business, the managers, the developers), but the process just keeps being adhered to. Maybe in the post-mortem someone will say ""we need to do a bit more analysis before doing estimates"", and the outcome is that during the next sprint planning session the SM will say ""HAVE YOU REALLY REALLY REALLY THOUGHT THIS THROUGH?"" but... they're still doing analysis on 12 new tasks blind..."
theptip,"on Oct 29, 2022","Dream scenario - in the planning session note you depend on an external API. Prioritize an early spike/prototype of the feature to flush out dependency risks. Discuss relative priorities with the other team & schedule the work to modify their service.This requires teams to have slack/contingency time in their plans. That’s important.Of course, there will always be situations where you don’t spot a dependency until you start coding. But in the loosely-coupled mode, that is what happens every time you have a dependency on someone else, ie you have no opportunity to spot in advance. Worth some planning exercise you get an opportunity to spot the dependency and deal with it gracefully, even if you don’t catch 100%.But yeah, if there is no benefit to spotting early because the other team doesn’t have slack for the Q, then less point in planning in advance."
drran,"on Oct 30, 2022","It looks like risk planning was not done by your project manager. Risk planing includes risk prediction, calculation of possible time and/or monetary damage, risk reduction. For example, if we see that Foo can cause problem in near future with probability of 10% and can delay project with 5 members by 3-40 days, then average risk of lose is `0.1 * (40 - 3)/2 * 5 = 9.25` man-days. If we can reduce risk probability by factor of 10 by spending 2-man days of work early (1 man day of project manager + 1 man-day of a developer), then we will reduce cost to `0.01 * (40 - 3)/2 * 5 + 2 = 2.925` man-days, so 6.325 man-days are saved."
roguecoder,"on Oct 29, 2022",Collective code ownership is a prerequisite to most Agile processes for this very reason.
marcinzm,"on Oct 29, 2022",In my experience most companies specialize teams to various extents which makes true collective ownership difficult. An iOS team is likely going to have difficulty dealing with the ML code. This becomes even worse if the change is complex or touches the domain specific patterns.
drran,"on Oct 30, 2022","It's known as «the bus problem». Peer review is used to address this, to make someone else a bit more familiar with your code, so he will be able to help you when you are overwhelmed and need help (or when you hit by a bus). Also, built-in documentation, run books, guides, and automated test cases are very helpful for those, who are not familiar with your code base. It reduces job security tough. (I hit by that multiple times, because, for management, it feels like good developers and good administrators are doing nothing or constantly pick-up very easy tasks to do)."
manmal,"on Oct 30, 2022","But the iOS team can’t know everything about the server API, the ops team has no control over App Store release processes, iOS team usually has no push permissions for Android etcDifferent code bases in the org might even have different process certifications they have to follow, eg in medical software or some other industries. In those cases it’s downright impossible/illegal to give every team access to every repo.SAFe is supposed to solve this. I haven’t heard anything good come out of it though so far, so I find this thread very interesting."
kqr,"on Oct 29, 2022","Sure! I often start to make things which seem like a good idea at the time but after 1--8 weeks of A/B testing (or other verification methods) it turns out the market was not what I thought and it would be a waste of time to pour more work into it.At that point I can either ""stick to the 3 month plan"" and do something which I know has at best no value, or... try something else."
tonyarkles,"on Oct 29, 2022","> What sort of business are you in where you can actually meaningfully predict which will be the most valuable opportunities and ideas that will come your way in the next three months?I've got one foot in the pure software world and one foot in electronics hardware. I've worked with a number of startups, and some larger organizations and government.The SaaS startup world is the exception here, not the rule. Virtually any business that is not ""we're ready to pivot on a dime"" SaaS should be able to plan 3 months out. Generally speaking, any kind of strategic initiative is probably going to take longer than that to roll out. If there's any kind of manufacturing involved then design, V&V, manufacturing, and QA are likely going to be running on at least 3 month cycles.Sometimes things do pop up and it makes strategic sense to do a mid-quarter tactical shift to attack an extremely valuable lead, but that should be exceptional. Even in the SaaS world, people tend to jump on new ""valuable opportunities"" without really sitting back and assessing the cost of delaying everything else. This kind of organizational ADHD (one board member at a company called it ""chasing butterflies"") tends to result in a bunch of half-finished projects/products that all could have been valuable in their own right if they'd been run to completion instead of abandoned in favour of the next ""golden opportunity""."
ThalesX,"on Oct 29, 2022","Three months!? Is this the stability we expect from companies in our day and age? I would think it's a lost company, one that couldn't somewhat predict what the next three months are going to look like."
pflenker,"on Oct 29, 2022",Just look back 3 month and assess how many of the things that happened were predictable (keeping in mind the fact that hindsight is 20/20). I wager every company in the world was affected by the world wide  changes right now. Those who cling to plans are at disadvantage against those who have the ability to quickly adapt to the change.
hef19898,"on Oct 29, 2022","Just throwing things to the wall and see what sticks is not agility, nor is it just mindlessly running after any random car like a dog chasing the mail man."
tikhonj,"on Oct 29, 2022","Who said anything about ""mindless""? Just because work wasn't planned in detail in advance does not make it mindless—the people actually doing the work make creative, nuanced decisions as they're working. Not pushing a top-down, up-front plan gives people more room for careful nuanced thought.That isn't ""throwing things to the wall"" or ""mindlessly running around"", that's trusting a team of professionals to make effective creative decisions."
ThalesX,"on Oct 30, 2022",Who said anything about detailed planning? You’re throwing this in and then using it as a lever to push an engineering led approach. There is no such argument in this thread.There is however the argument of whether companies should look ahead for more than three months. And brilliant and trustable professionals don’t change my assessment that they should.
hef19898,"on Oct 29, 2022","I agree, if you have team of experienced professionals tgat is. If not, well, stuff to the wall it is. If wrapped in sometjing something agile, at least it looks good."
roguecoder,"on Oct 29, 2022","Trying to guess the future of complex systems is an exercise in hubris.Success is far more likely if you decide on a goal, and then build feedback loops that let you learn. And in the internet age a feedback loop of a month is painfully slow, never mind three."
ThalesX,"on Oct 30, 2022",Is that goal for next week? Two weeks? My argument was that three months is too little for any sort of company strategy. We’re talking about a financial quarter. You don’t even have the time to measure your decisions.
hef19898,"on Oct 29, 2022","Not everything is a consumer facing app, you know?"
SpicyLemonZest,"on Oct 29, 2022","I'm pretty skeptical of this kind of thing even for enterprise software. I can imagine scenarios where it's relevant - if you're planning to release Disney+ in 6 months, yeah, you'd better coordinate pretty tightly to make sure you're not missing some key dependency when you flip the switch. But I've seen multiple incredibly successful enterprise products developed through the ""throwing things to the wall and see what sticks"" approach."
kgwgk,"on Oct 29, 2022","""In preparing for battle I have always found that plans are useless, but planning is indispensable."""
ThalesX,"on Oct 30, 2022","> Just look back 3 month and assess how many of the things that happened were predictable (keeping in mind the fact that hindsight is 20/20).The company I work for hasn’t changed a single procedure or milestone. Neither have my clients. I am also not talking about predicting the world, but of predicting an internal kitchen.This is just n = 1 but I’ve never seen a company that does it’s strategic planning in detached 2 week sprints.If anything, if any sort of coherence exists I’d say that the previous sprint, the current sprint and the next sprint should have an understandable connection, and then we are already talking about a month and a half.> I wager every company in the world was affected by the world wide changes right now.Affected? Perhaps. Derailed? Not so much.> Those who cling to plans are at disadvantage against those who have the ability to quickly adapt to the change.Both have their advantages and disadvantages, but I’d trust and would like to work, more, for a company that doesn’t flap in the wind.No one in the industry expects stability like in the waterfall days, but to expect a company to change / adapt their strategy in less than a financial quarter is just marketingspeak in my opinion."
ethbr0,"on Oct 29, 2022",> Those who cling to plans are at disadvantage against those who have the ability to quickly adapt to the change.https://en.m.wikipedia.org/wiki/OODA_loop
doctor_eval,"on Oct 29, 2022","> The OODA loop has become an important concept in litigation,[2] business,[3] law enforcement,[4] and military strategy. According to Boyd, decision-making occurs in a recurring cycle of observe–orient–decide–act. An entity (whether an individual or an organization) that can process this cycle quickly, observing and reacting to unfolding events more rapidly than an opponent, can thereby ""get inside"" the opponent's decision cycle and gain the advantage."
sanderjd,"on Oct 30, 2022","""Somewhat predict"" is incredibly different than ""make a detailed plan for"". I like strategic planning in 3, 6, even 12 month increments, but doing the detailed work toward those high level plans in much shorter and less static increments."
ThalesX,"on Oct 30, 2022","Let’s assume you have a strategy for the next 3 months. You identified / endivisioned a need in the market and came up with a reasonable solution; you locked in the budget, you allocated the resources. How many times are you going to change these in the 3 months?"
sanderjd,"on Oct 30, 2022","But that's not the kind of plan that comes out of these planning sessions. What you're describing is more like the effort to put together organization / unit level OKRs. That is a good thing. But getting everyone together to guess ahead of time how they'll execute that solution in detail is a poor use of time in my opinion. I think the planning exercise is useful for cross organization alignment at a high level, but for individual contributors, I think it at best makes their eyes glaze over and at worst makes them frustrated and demoralized, and then once the planning is done everyone goes back to doing the actual work, which of course doesn't match the plan very closely."
cortesoft,"on Oct 29, 2022","If you have a company that has more than 200 developers, there is a certain level of inertia involved in everything you do. You can’t be shifting projects nearly as quickly as when you have 10-50 developers.Having worked at both very large and very small companies, people who have not worked in the other just don’t understand what it is like at the other scale."
Yizahi,"on Oct 29, 2022",For example the sort of business which supplies hardware needed to write yours or mine comment. Not everyone is deploying to production every day or even every two weeks. Not everyone has feature development measured in hours.
skeeter2020,"on Oct 29, 2022",">> I was blown away at how effective it was. Once a quarter, we had a 3-day event in which the entire next 3 months were planned outYep, you get this, a 13 week PLAN. Just adopting plan-old maligned waterfall can give you a plan lasting years! Unfortunately software development teams are supposed to deliver more than plans.You can totally do quarterly planning without SAFe, cross-team colaboration can be achieved, and having teams spend time digging into future work is immensly valuable. SAFe leeches from these positives without actually enhancing them, while adding an imense amount of overhead and real costs."
zogomoox,"on Oct 29, 2022","Even if it worked, who wants to be in a 3 day long planning meeting every quarter? It sounds like a worse kind of hell to me."
user_named,"on Oct 30, 2022","In our scrum process, I spend 6 days spread out over three months in sprint planning."
sanderjd,"on Oct 30, 2022","Yes, but quarterly planning does not preclude sprint planning... You do both."
config_yml,"on Oct 30, 2022","I’ve been there. A meeting with over 900 people, half of them in a different timezone, looped in via video feed on a big wall. Fortunately it was also my last meeting of such kind. The following 3 months were a total waste of time."
tsimionescu,"on Oct 29, 2022","What happened when two months in the priorities changed, or when a feature that looked like it might take a turned out to take a month?"
JamesSwift,"on Oct 29, 2022","Priorities changing is one thing, but the answer to the second one is that priorities are priorities. If something to the left-side of a timeline now takes longer, it usually shifts everything else to the right. Thats just the reality of the situation, and the point is to have the awareness of the impact and be able to adjust accordingly."
Yizahi,"on Oct 29, 2022","You change priorities then. If a set of features takes much longer due to whatever reason, you just pare them down  or postpone release accordingly. If you have important customers waiting for the release, you then first talk to them and then cut or postpone depending on their opinion and common sense. Delaying release doesn't summon demons or cause apocalypse, despite what some managers try to bs us."
sanderjd,"on Oct 30, 2022","I think maybe this is the confusing thing to me. What ""release""? It seems like plenty of people are doing this for service-oriented software where these ""releases"" are totally arbitrary. Most of us are not putting CDs in boxes..."
sanderjd,"on Oct 30, 2022","It's interesting to me that you saw this as such a success story. In my organization, people have worked hard to get it down well under three days, and to me it still feels like a ton of effort for dubious benefit, because no plan survives first contact with the enemy."
bl4ckm0r3,"on Oct 29, 2022","How big was the team and what type of project?
And what amount of level of detail did you put in the planning/roadmap?
Did you also had experiments and investigations taken into account?"
tapatio,"on Oct 29, 2022","Same. I found it to be very effective, especially having a bunch of release trains in sync. Obviously this applies to large organizations."
rootusrootus,"on Oct 29, 2022","It's difficult to really articulate just how much damage SAFe safe has done to our organization.  But senior management loves the waterfall planning and the finance guys love the level of detail they can stuff into their spreadsheets somewhere.That it cuts our actual development output by half or more is not relevant.  As long as we can churn out meaningless Jira tickets to describe all that we aren't really doing, management is happy.The important work still gets done, but it's off the books.  It would never survive PI planning."
63,"on Oct 29, 2022","As someone who just finished a week of 8 hour PI planning meetings with another week of the same starting Monday, I wholeheartedly agree. My experience of SAFe has been shorter term waterfall with a couple steps cut out. It's definitely better than waterfall and I'm grateful for that, but I wouldn't call it agile."
tootie,"on Oct 29, 2022","SAFe almost feels like a ploy lead by waterfallistas to sneak their agenda back into the mainstream and call it ""agile"" to fool everyone. It's a shame because there is room for a toolkit to help scale agile. There aren't great tools for managing dependencies between agile teams."
roguecoder,"on Oct 29, 2022","It follows the outline of taylorism, just one level up from the team: measure, control and manage."
brightball,"on Oct 30, 2022",A week? It’s supposed to 2 days. 2.5 if you are partially time shifted.
throwaway93494,"on Oct 30, 2022","I mentioned this in another reply, but it bears repeating. Our current PI planning is 2 weeks not counting the half day before in Pre-Planning for PI Planning.I sincerely wish that was a joke. It's a 4 hour team wide meeting to review all work items are ready to be planned during PI planning, as well for us to identify dependencies and schedule meetings with those dependencies. There isn't enough time to to that during the actual planning."
