Author,Publication Date,Review
Aeolun,"on July 2, 2019","In these cases it’s often a matter of ‘give me a week and I’ll tell you’.Then again, a similar number of times, the only information you get is ‘we need a chat program, can you please estimate how long that will take?’. Which will leave it forever impossible to estimate."
notyourday,"on July 2, 2019",> “We literally have no way of knowing?” “Not even a ballpark?” “No.”That's when the engineering lead or whoever was giving that as the answer is told that his services are no longer required.
gomox,"on July 1, 2019",Oh come on. Any decent project manager understands the difference between an estimate and a deadline and plans and communicates accordingly. It's not rocket science. Stuff gets shipped on time all the time.
bitwize,"on July 1, 2019","Any decent project manager who wants to keep their job will acquiesce to people further up in the org chart who want deadlines, not estimates, and who consider the difference between the two to be as fuzzy as it needs to be."
bb88,"on July 1, 2019","> Any decent project manager who wants to keep their job will acquiesce to people further up in the org chartIn my book, that project manager is not ""decent"".  A decent project manager would recognize the situation for what it is and leave."
Aeolun,"on July 2, 2019","Then there won’t be any good project managers, as I’m fairly certain most executives do this shit."
bb88,"on July 2, 2019",That's the problem I've been seeing in non tech based companies.  IOW when tech isn't what they're selling.
dragonwriter,"on July 2, 2019","A deadline is a requirement. It is not a PM’s job to reject requirements, though it is their job to help th customer understand and manage resolution of situations where the combination of requirements given are in conflict, such as when a deadline is insufficient to acheive the functional requirements."
dragonwriter,"on July 2, 2019",And any decent engineering team will accept that a project has deadlines and raise progressively more serious risks with appropriate explanations up the chain as the confidence that completion will occur before the deadline declines below near-certainty.Deadlines can be legitimate project requirements as much as functional requirements are. Identifying practical conflicts between requirements is part of what an engineering team does. Managing resolution of those once they are identified so that the customer gets the best result achievable is what a PM does.
rramadass,"on July 2, 2019",">who want deadlines, not estimates, and who consider the difference between the two to be as fuzzy as it needs to be.This is exactly it. Well said!"
bb88,"on July 1, 2019","There's two issues right?1.  Inability to estimate effort.  Admittedly an academic issue, and should be taught to all engineers in college.2.  Inability of management to deal with delays due to bad estimation.  This might be caused by a ""bozo explosion"", say, (where inept managers hire more inept people underneath them.)Edited to add:3.  Why do we keep making assumptions that management must be infallible?  In any dysfunctional organization, it might just take one bad manager high up in the chain that causes pain for the entire organization beneath him."
redhale,"on July 1, 2019","I cannot believe how much I love the term ""bozo explosion"". I see this situation all the time as a consultant, and now I have a fantastic term for it. Thanks for sharing!"
bb88,"on July 2, 2019","I'm a consultant as well.  You go through enough companies and you can see how much of a problem this actually is.As much as I did not particularly care for the management style of Steve Jobs, as far as I know, he was the one that first used the term.https://guykawasaki.com/what-i-learned-from-steve-jobs/Edited to add:This just happened recently.  Maybe you'll appreciate it.15 years ago or so (before the term ""technical debt"" got widespread usage) management kept asking why we working on so many bugs.  The solution was to label them as ""enhancements"".Just recently within the past year, I saw the exact same thing happen again."
Aeolun,"on July 2, 2019","> If you ask customers what they want, they will tell you, “Better, faster, and cheaper”Amazon took that to heart. Seems to have worked out for them."
krageon,"on July 2, 2019",N/A
gilbetron,"on July 2, 2019",They were the first that made online retail work.  Plus there's the whole AWS thing.
_mdpn,"on July 1, 2019","I want to work where you do, where friction is negligible, cows are perfectly spherical, wind resistance is never a factor, all functions are continuous and differentiable across their entire domain, and all project managers are decent."
gomox,"on July 1, 2019","I'm not saying the story is implausible, but I dispute the idea that estimating software development efforts is an intractable problem that is better left unattempted."
krageon,"on July 2, 2019","Estimating things is important and valuable, but as soon as you get large corporate structures and multiple levels of people communicating involved it becomes a really bad idea. That's why it shouldn't be attempted in those kinds of situations."
james_s_tayler,"on July 2, 2019",Please don't assume decent project managers. That's how you get in trouble.
mbesto,"on July 2, 2019","> Hope for the best, plan for the worst.Oh dear, have you ever spoken to a finance department before?Here's a common story I've seen across multiple companies[0].1. The Finance department alots the marketing department with a $500k budget.2. Marketing department blows through the $500k budget on the engineering department and has no productive app to speak to.3. The Finance department goes back to the Marketing department asking what happen to all of the money they gave them.4. The Marketing department says ""well engineering told it was agile, which meant they didn't know when it would be done and for how much""5. Finance department: ""Ya, you're not getting a budget ever again from us""> No estimate is clearly better.Sorry, but this is not how the real world works. Agile assumes a perpetual budget, which is not realistic for most businesses in the world.[0] -  Personally seen among 100+ and counting."
Aeolun,"on July 2, 2019","Doesn’t agile presume you have some deliverables every week? At the very least they’d have ‘something’. It might not be fit for purpose, but that should have been fairly visible a ways before they blew through the whole budget.Unless, you know, there are other systemic issues in the company."
bb88,"on July 2, 2019","I'm sorry, but if you're spending $500k or more based upon one engineer's ""estimate"" (for which you're paying $10k/month) then something is more fucked up in that company than what appears on the surface.But I agree with you, if the engineering management can't budget and prioritize work to get done, that's a larger issue."
mbesto,"on July 2, 2019","> but if you're spending $500k or more based upon one engineer's ""estimate"" (for which you're paying $10k/month)The $500k was just a random number I came up with. Budgets wildly vary based on whether they get allocated weekly/quarterly/yearly/etc. And also it's never ""one engineer's estimate"", it's usually a project manager who works with N number of engineers to come up with an estimate."
bb88,"on July 2, 2019","And that's the way it should be.But keep in mind that if a developer is in a sprint, he might start adding tickets to the epic because of technical/organizational issues.  Suddenly the epic might look 3x more work than was originally planned.  Note this is not theoretical, as it's happened 3 times to our team already this year.But meanwhile in the example I gave, the developer gets held accountable still for not making the correct estimate.  Management just passes it up the chain rather than trying to increase the confidence around the estimate."
elindbe2,"on July 2, 2019","It's even worse in my organization.  Funding is based on projects so the amount of funding you receive is based on exactly how long your estimate is (if they choose to fund your project).  Often projects are estimated based on ""here's how much money they are willing to spend, so we'll just figure out the number of man hours that amounts to and give that as an estimate."""
notyourday,"on July 2, 2019","> No estimate is clearly better. Here's a common story I've seen across multiple companies.As strange as it may sound to developers, the salary is paid by the customers, current or future."
rubidium,"on July 2, 2019","I’m sorry for your bad experience, but some companies are able to do this well."
50656E6973,"on July 1, 2019",N/A
TheOtherHobbes,"on July 1, 2019","Because campaigns have to be planned ahead too - anywhere between a few weeks and a year or so, depending on the size of the project and the company, and often timed to match big trade events.And there's always the possibility that if you announce too late competitors will eat your lunch.One way to handle this is to spend some time on a formal estimate. Two to four weeks of R&D to scope a project can help narrow estimates to something approaching realism. You'll still be wrong, but you're less likely to be hopelessly wrong.Asking someone for an instant opinion is madness. That's not an informed estimate, it's just a guess, and usually worthless."
fuzz4lyfe,"on July 2, 2019",Sounds like marketing needs to be agile
rch,"on July 1, 2019",Because if they launch on the original schedule with Partner X they get Massive Benefit Y that could make or break the product. For example.
ScottFree,"on July 1, 2019","This. Most developers either don't want to or can't understand that there are real and valid reasons for wanting a predictable software production schedule.That said, I've only ever seen one software project consistently meet production deadlines. Is there benefit to committing to the original schedule with Partner X if there's no way you can deliver on schedule? Or is it one of those things where Partner X has committed itself and they have no real choice but to work with the sliding deadlines?"
rch,"on July 2, 2019","In the example I'm thinking of the partner wasn't really bothered that the schedule slipped, but the ideal marketing window came and went before the product officially launched, which certainly affected sales. They were really excited that all the planned features made it to market though.I'd say that some aspects of the capability maturity model make sense, even for engineering groups that practice agile day-to-day."
ScottFree,"on July 2, 2019","> the ideal marketing window came and went before the product officially launched, which certainly affected sales.Definitely. I used to see that all the time in the games industry. Getting the right launch window is critical because most of a game's sales happen in the first few days of launch. And yet, games are famous for shipping months, even years late. They usually seem to make it work. I guess you'd be particularly hosed if you couldn't afford the burn rate for the extra X months it would take to get to a decent launch window."
bb88,"on July 1, 2019",Lots of reasons:1.  Marketing management is full of idiots.2.  The coder's estimate is used to tell the CEO when a product will be rolled out.  Who then questions why it didn't get rolled out on time.3.  Marketing gets a bonus for rolling out ad campaigns on time.4.  Marketing is using this for their big trade show  coming up and wants to make a big announcement for maximum impact.Why do you assume management is always competent?
bobm_kite9,"on July 1, 2019","I think this comes down to the idea that estimates are really for coordination.At least, I think that’s the best reason for using estimates.  I wrote something about this here:  
https://riskfirst.org/Estimates"
bobm_kite9,"on July 1, 2019",Actually I don’t really understand why all the HN posts on agile just devolve into a discussion about the difficulty of estimating.Surely there’s more to it than that?
ahelwer,"on July 1, 2019","Well, standup is also terrible. In addition, there's the general agile assumption that developers are capable of consistently producing X hours of work per day. Maybe it's just me, but I'm a bit more burst-y with my work habits than that."
majikandy,"on July 1, 2019","I wouldn’t say Standup is terrible but one where you go round the room giving updates is almost useless. It’s not just you, most developers can do 8 hours work in an hour if they aren’t interrupted with meetings."
Aeolun,"on July 2, 2019",Shouldn’t it average out over 2 weeks?
ahelwer,"on July 2, 2019",Not if you're doing standup every day and expected to report daily progress.
jldugger,"on July 1, 2019",Because the superbowl comes once a year -- seasonality matters!
loup-vaillant,"on July 2, 2019","> You must never turn estimates into a promise,Whoever asked you for that estimate will do that for you…> always remind people they are estimates.…even if you remind them. I mean, the reasonable ones won't, but many people aren't that reasonable.I've been in an interview last week where they told me the teams were strongly committed to the features they planned to do each sprint. Which I interpreted to mean that their estimates are promises.> Want to give fast estimates? Here’s how:My, this looks like it could actually work. I'm going to try it right away."
davidjnelson,"on July 2, 2019","It’s funny because even with capital a Agile / Scrum, in 2011 the term commitment got changed to forecast [1].  But then many companies who are dogmatic about Agile still use estimates as commitments anyway.  That makes technical debt really hard to avoid...  One solution is to create technical debt tickets in the backlog so people become aware of it.1. https://www.scrum.org/resources/commitment-vs-forecast"
rramadass,"on July 2, 2019",">Even bad estimates are better than no estimatesAbsolutely not! An estimate should not be a random number but should be constrained with available data however small it might be. If you feel that you don't have enough to form a ""guesstimate"" do not give me a number but first work on finding the data which will enable you to form a proper estimate.Once you give an estimate, no matter how many times you explain that it is a ""guesstimate"" people tend to lock on to the given number. It then becomes a real battle trying to explain the hurdles (and there are always some unknowns) while revising the original estimate. Soon mutual distrust develops between the implementation engineers (stressful and detrimental to actual execution) and the management leading to everybody losing faith in estimates. Agile/Scrum have exacerbated the problem with their short time windows and sprints. In one team that i was on, people just gave up and started quoting 2 weeks for any and every feature, trivial or non-trivial and the whole exercise became meaningless.PS: The book ""How to Measure Anything: Finding the Value of Intangibles in Business"" is worth reading to get some ideas on how one might do proper estimation."
freshhawk,"on July 1, 2019","> You must never turn estimates into a promise, always remind people they are estimates.The person giving the estimate isn't the one who does this. Other people turn them into promises, because that's what they were actually asking for when they asked for ""an estimate"".Giving some kind of uselessly vague estimate isn't particularly useful from an engineering perspective and everyone else has been trained by scrum the last decade to treat them as promises. So don't do the thing that you know will have a bad effect."
Redoubts,"on July 2, 2019","> The person giving the estimate isn't the one who does this. Other people turn them into promises,Why is that your problem? If someone tried to hold me to such an estimate, I would simply say ""I never promised this, in fact I explicitly didn't promise this. I'm sorry X lied to your face about this."" Don't own other people's failures."
matwood,"on July 1, 2019","> Even bad estimates are better than no estimates.I disagree. The only bad estimates that are ok have to error on the high side. I have found that biz side may not like the longer estimate, but they much prefer that over missing a date."
humanrebar,"on July 1, 2019","Right. If they asked for a 95% confidence number, they would get something to depend on more whole heartedly. But that date will be too far in the future to be comfortable.So they look for more of a natural median. And then are shocked when dates are missed more than half of the time (!).So if you want honesty, ask for estimate ranges or 95% sure estimates. Then pareto your plan to hell and back so everyone understands the risk. Then reestimate periodically as you home in on completion."
ehrm2017,"on July 2, 2019","Great you know how you work best.There are other ways. The best of humanity have a wide range of methods they use to get shit done at a level most of us dream of.So I have a hard time taking a straight jacket process like you suggest as some sort of panacea. It’s essentially another manifesto. What’s the expiration date on this.Everyone goes on about the value of writing less code, and here we are incentivizing manufacturing line processes for crafting more code?Note the authors of things like the Phoenix Project: rich Silicon Valley types. We’re just discussing how to be better assembly line workers for tech aristocracy.Figure out how to build your business in such a way it works for the business. Google didn’t get big because it has perfect process; it can and often is a mess. It got big solving it’s problems and monetizing the solution (every company will need to search for digital files, send email, edit docs, etc).Figure yourself out, compare with others. There’s is no one size fits all to thinking about problems and even the biggest winners don’t have all the customers there is. Why isn’t Gmail the only email solution?There’s never a perfect process."
sbov,"on July 2, 2019","I do something similar, except don't assign to a number.  My back of the envelope estimates are: hours, days, weeks, months.This gives people enough information as to whether or not a change is worth it.  If the difference between, say, 2 and 5 days  makes or breaks the feature it's probably not worth exploring in the first place."
DigitalSea,"on July 2, 2019",">You must never turn estimates into a promise, always remind people they are estimates.Herein lies the problem. Many companies that do ""Agile"" fail to realise that estimates are just guesses, they're not accurate and yet, the issue is companies taking these estimates and holding developers to them. That's the real problem.It's all well and good to say, remind people they're only estimates, but many of us who have been in this industry longer than a minute knows that estimates nine times out of ten are taken as promises and that's when we get crunch and burnout as developers are forced to achieve the impossible with excessive hours.Deadlines need to drop dead. Code quality suffers when you put a timeframe on it."
ryanthedev,"on July 1, 2019",Features and stories should be completable in the span of an iteration.Epics and Features are prioritized by the business and product.  They can be expected to slide from iteration to iteration.Any User Story or task should be expected to be completed an a single iteration.If you keep having open stories stop bringing in a complete story.  Just assign tasks.Features and Epics are pointed.Business looks at points earned per year or quarter.  Look for trend.IT leadership looks at amount of open stories and tasks that were moved from iteration back to the backlog.  Over the span of all iterations.This will ensure teams are breaking down work into actionable goals.
rramadass,"on July 2, 2019","Good lord! Buzzword Bingo and Obfuscation at its finest!Nothing personal, but you have just confirmed to me why i loathe the Agile/Scrum/[fad] processes so much. Take easily understood commonsense ideas/terms and invent fancy names for them, convert heuristics to axioms and sell a business around it."
Redsquare,"on July 2, 2019",So said the 2 day scrum master
dragonwriter,"on July 2, 2019","> Even bad estimates are better than no estimatesBad estimates are worse than no estimates, but if you are doing work complexity estimation and measuring velocity (which you need to do to evaluate internal process changes, manage workload, and for lots of other purposes), you are incidentally gathering the info you should need for excellent estimates, which are not necessarily hyperprecise but are excellent instead because they can explicitly quantify uncertainty as well as mean expected delivery time."
shados,"on July 1, 2019","> Can we stop pretending we can forecast the unknownWithin reason. Ive worked in orgs where there is no estimate at all, and that bring a different set of problems (unbound projects and no work getting done because of the complete lack of pressure).Now you're totally right: software engineers rarely do the same thing (or even similar things) twice, so estimating is somewhere between ""very hard"" and ""impossible"".""Scoping"" however is still needed.If you ask me ""How long will it take to add a button to this page"", that's a very ambiguous question.I can solve the problem in a few ways:
- Tack on a plain html button element
- Add a button from an existing styleguide/library/design system.
- Build our own button component instead of reusing one.
- Build a full blown button editor that allows a non-software engineer to use a WYSIWYG editor that will create their own custom button and insert it on the page without code.Now obviously there's a range between these, going from a few seconds (plus deploy), to months or years of work.The project/product/whatever managers and the tech leads/engineers need to work together to agree on scope. An arbitrary deadline can be picked and then engineers have to do whatever they can up to that deadline. Or we can agree on minimum functionalities with onbound deadline that MUST be created regardless of how long it will take. Realistically, successful projects will be a mix of both, along with various forms of padding and revisiting estimates along the way to account for unknown and mistakes."
jrs235,"on July 1, 2019",> because of the complete lack of pressureI would say it may be due to more of a lack of focus.
mizchief2,"on July 1, 2019","estimating is either easy or impossible. You either have done it repeatedly and have data to show how long it took, or you have no fucking clue.Focusing on the most important features of each module first, and then the most important of the next then the next with a focus on progress towards something useful is the only way to go.When you have a consistent team and some tracking data to compare task size to hours required to complete, then you can start doing estimates for future work, but you never have to ask the dev team to estimate other than setting some relative size between tasks and trying to stick to the sizing system. I prefer Fibonacci story points, but it can be anything that has a number."
RocketSyntax,"on July 1, 2019",It's more about what is BEHIND the button.
hnick,"on July 2, 2019",The Why rather than the What. Maybe they don't even need a button.
humanrebar,"on July 1, 2019",> unbound projects and no work getting done because of the complete lack of pressureActual demos seem to help a lot here in my experience.
avgDev,"on July 1, 2019",N/A
RogerL,"on July 1, 2019","Great! Please let us know when cancer will be cured.In other words, ""I don't know"" is sometimes a complete answer. I don't know. Period.This is supposedly one of the main points of this religion (agile). Some things are unknowable. So you move ahead a bit, and reassess. If you are scrumming, that is usually 2-3 weeks, and don't get me started on that arbitrary limit. But, you try to move forward for a bit, learn something, and then that might1) let you know enough to know how to estimate2) give you some information on what not to try next (I tried a, b, and c, and they all failed)3) give you guidance on what to work on next (d seems promising, I can flesh it out more and see if it still seems like a promising avenue).You proceed on, and eventually get your hands around the problem, or the person writing checks decides this is not an economical search (because that is what this is, search on a multidimensional surface) and change/delete the requirement.That's what agile is supposed to be, with a nod to the fact that yes, we can estimate writing a single database query or something fairly well, so in some cases estimates can be useful at this scale.The bane of my existence is the endless pressure for estimates. I'm doing research; no one has done this stuff before. It is truly unknowable. If it was known it would be in a paper somewhere, and I would merely be implementing that paper. So I get told ""break it down into smaller chunks"", as if my 30 years of success didn't teach me how to break down problems. Thanks PM that has never coded or produced anything intellectually novel before! I'm surely being dumb and/or obstinate!I got that written in my previous performance review, that I don't know how to plan and break down problems, because I flatly refuse to play this game. You get punished for trying for hard things. It's nonsense. ""I don't know"" cannot be changed by insisting on an estimate."
JetezLeLogin,"on July 1, 2019","Insisting on the estimate in that situation is basically a special case of the old trope of using something meaningless but easy-to-measure as a proxy for something important but hard-to-measure. It's hard to know how long something will take, and easy to ask someone how long they think it will take (or if it's you, to pull an estimate out of your butt)."
isoskeles,"on July 1, 2019","> Please let us know when cancer will be cured.An absurd comparison given most software engineering tasks have been done before, they're simply difficult to estimate for some given team without expertise in doing some particular task."
mplanchard,"on July 1, 2019","TBF, GP said they were doing research, so it’s entirely possible that they’re working in a space with little to no prior art."
sopooneo,"on July 2, 2019","More than a day but less than a millennium. I am 99% certain on that.Granted that’s more broad than a PM (or humanity) would want, but it is SOMETHING."
rramadass,"on July 2, 2019","Assuming you are not being sarcastic, quote from another post;>the old trope of using something meaningless but easy-to-measure as a proxy for something important but hard-to-measure"
rhizome,"on July 1, 2019",">I feel as you should be able to provide an estimate even if it something that you have not completely done before. One should spend some time to gauge how much of this new thing is really ""new"" and what parts should be easy to figure out. Then, try to look at resources about those unknown parts, and that should allow to provide a rough estimate.This isn't personal, just a comment on a way of thinking that is not uncommon: each of those sentences are insane and not based in reality. You may ""feel"" these things are possible, but that's about as far as it goes. ""Just look up all the unknown stuff."" OK."
xmprt,"on July 1, 2019","I wish people were more comfortable saying ""I don't know but I can do some research and get back to you later."" Often times that's where the conversation about time estimates ends because they don't ask you again unless it's actually important. And if they do ask you, now you have a better answer (assuming you actually looked into the problem you're trying to solve).The other problem with time estimates that I find is that even though I might know for sure that a certain feature will take only a day or two, I can't tell when it'll be done because I usually have other things to work on as well."
JustSomeNobody,"on July 1, 2019",Well here's the thing. Often I'm asked for my estimate in the same meeting I first see the story. I have no way of researching before giving an estimate.> ... and then if PM/boss don't understand there is not much you can do but probably look for a better gig.If only it were that simple.
shados,"on July 1, 2019","> Often I'm asked for my estimate in the same meeting I first see the storyThat's definitely awful. Personally when I was leading agile teams, for anything non-trivial we'd start by creating an issue to scope the individual parts of the project, frequently allocating several days to do so.And some stuff is still mostly unscoppable. That's where Fermi estimation and the whole ""How many chips can you fit in the empire state building"" time deal comes into play. You have no way to really know how long something will take, but we need to allocate resources SOMEHOW, even if its completely off. An imperfect guesstimate is better than none at all.The catch is that everyone involved has to know that its an imperfect (and potentially completely wrong) guesstimate, and it has to be revisited regularly as new information comes in. Everyone also has to be ok with restructuring the project (or even cancelling it, in extreme cases!) if we learn its completely wrong.We recently discovered at work that an assumption/decision that was made nearly 2 years ago turned out to be totally false. The project that relied on that false assumption was about 10% in (the assumption was made long ago, but actually work started recently). We had to sit together and ask ourselves if it was actually worth pushing through the 90% (and likely regret it in a year), or agree to scrap the 10% and start over now that we know what we're doing. We have to be careful not to pull off a Vista/WinFS resource blackhole though!"
chrshawkes,"on July 1, 2019",It's even worse when your lead is giving timeframes for you...
ScottFree,"on July 1, 2019","I used to think that too, but is it really? If estimates are always wrong, then is there really much of a difference? Besides, the lead often has business related information that informs his decision of ""this feature must take no longer than X amount of time or we're going to have problems with Y"" where Y is often political and not technical."
chrshawkes,"on July 3, 2019","It just goes against agile development so it seems like if we're doing that, we're not doing agile.  Then again, nobody is it seems? :)"
ScottFree,"on July 6, 2019","I remember when Agile development used to involve chickens and pigs. If you have no idea what I'm talking about, then you're not doing Agile as it was written. Almost nobody is today."
Eupolemos,"on July 2, 2019","I don't agree with you - you're presenting the view which is the exact position people here are trying to put words to why doesn't work (and often hate about their jobs).But downvoting you is just as counterproductive as burning the devil's advocate and you have my upvote. I hope people will get a hold of their emotions.I've just spent a month doing a script I thought I could do in a weekend. I didn't realize several of the difficulties inherent in the data, I didn't realize I'd have to up my game with regard to techniques in shuffling data and I didn't know I'd run into so many quirks in the programming language.I didn't know what I didn't know. That's why I guessed wrong.In everything you haven't done before, you don't know what you don't know - and only a small portion of those things could have been realized by spending some hours researching the work I needed to do. Those didn't pop up on my radar until I had to solve them :(But that knowledge isn't without value. Knowing that it is doing stuff you haven't done before that is risky (timewise) means you can underscore when you have a high-risk assignment."
kryogen1c,"on July 1, 2019","Im not a coder, so maybe the domain is different in a way i dont understand, but I agree with you 100%.Refueling nuclear aircraft carriers have projections start to finish, a half decade long. There are countless pre and co requisites with interrelated projects, not counting the mundane issues like material and manpower.I simply do not accept it is impossible to project a timeline for software. If someone stops you in the hall and says ""hey you, how long will this take?""  That is not a reasonable question, so sure you cant give a reasonable projection. If youre a professional coder and you show up to a planning meeting and your answer is ""I dont know, i have no idea and its not possible to provide an answer even on an order of magnitude"" thats just ridiculous."
chhickman,"on July 1, 2019","> Refueling nuclear aircraft carriers have projections start to finish, a half decade long.The difference is that those projections weren't spit out on the fly by a engineer after a 15 minute pitch of some manager's great new idea. Those plans took many months of effort to put together by a team of specialists planning out the various details of the project. Software does have the equivalent of this, it's called waterfall development. The reason we don't do this is because, unlike aircraft carrier design, if you take six months to create a project plan your requirements will have likely already substantially changed."
lazyasciiart,"on July 1, 2019","I'm not a nuclear aircraft carrier refueller, so maybe the domain is different in a way I don't understand, but it's ridiculous to need a five year plan to just refuel something, people refuel cars in five minutes everyday.I simply do not accept that it is impossible to refuel in a week or so, assuming it's a couple orders of magnitude more complex than refueling a car.Thats about how your comment sounded."
kryogen1c,"on July 1, 2019","+1However, your comment didnt help me understand. It doesnt help because even if i embark on something i have no idea about, even in total ignorance i can _bound the problem_.I dont understand how a professional coder can approach even a problem and have no idea - you have to DO the problem, so what is your approach? Just start coding and somewhere between 5 days and 5 years you stop?Planning meetings dont happen in a vacuum, so what kind of problem can you research but have literally no guess about its solution? Bear in mind, we're not talking edge cases (research grants or whatever), but coders hired to do a job."
rramadass,"on July 2, 2019",">i can _bound the problem_This is the nub of the problem when it comes to software. I understand your skepticism but software development is really very different from other activities. It is ""mind-stuff"" (and thus quite unstructured) which needs to be expressed in very precise language to solve an [almost always ill-defined/constantly redefined] problem. The inherent complexity involved is huge due to the number of degrees of freedom and malleability involved.I can do no better than point you to the article ""The Humble Programmer"" (http://www.cs.utexas.edu/users/EWD/transcriptions/EWD03xx/EW...) written by one of the pioneers of Computer Science to really understand the issues that make Software Development such a complex and difficult activity. And since then (the article is from 70's) we have made matters exponentially worse by orders of magnitude."
thwarted,"on July 2, 2019","The top answer to ""Why are software development task estimations regularly off by a factor of 2-3?"" on quora is a great analogy.https://www.quora.com/Why-are-software-development-task-esti..."
mdpopescu,"on July 2, 2019","Here's an analogy.The spell for floating an object is Wingardium Leviosa. It usually takes an 11-year old a few days to become proficient at it.Please give an estimate for a modification of this spell that will make the object lift, complete two vertical circles (720 degrees) and then go back to the starting point.(Before you ask: yes, we're doing magic. We're combining words in specific ways to create significant effects in the world.)"
