Author,Publication Date,Review
michaelt,"on Dec 20, 2021","> Anyone here know a good legal, compliance or best practice reason for blocking all accessThe philosophies include:1. Applying a maxim like ""Principle of Least Privilege"", or ""That which is not allowed, is forbidden"". Maybe through choice, maybe due to standards like PCI-DSS and SOC2.2. Blocking access isn't a problem, because we're going to grant access requests quickly. Just as soon as we fill these five vacancies on the team....3. Surely bugs making it to production will be a very rare event? Aren't these developers testing properly?4. Don't we have test environments for troubleshooting? Isn't the heart of devops that you have a test pipeline that you have confidence in? If your developers think they're likely to deploy buggy software to production, maybe you aren't ready for devops...5. Any large organisation will, at some point in its history, have had some chump run their test code against the production system and send every customer an e-mail saying ""Hello World"". If that happened when you had 30 developers, I doubt hiring standards are any higher now you have 300 developers! Stopping that happening again is common sense professionalism.6. Would you want Google's 100,000 engineers to have read-only access to your gmail account? Of course you wouldn't, you've got loads of private shit in there. And if you were CEO, would you want an intern on a 2 week placement to be able to download the entire customer database? Of course you wouldn't. People having access - even read-only access - to the production system is a bad thing.7. Locking down a lot of things gives the security team more political power, as every request to reduce restrictions or expedite a request is a favour owed."
capn_duck,"on Dec 20, 2021",Yea I completely understand the complexities that emerge when you're doing this stuff for a ~1500 person organization. And I know that overwhelmingly the people building these systems are talented and competent and have a stake in things and take pride in what they're doing. My comment was really more in response to the tone of the parent comment which insinuates that these helpless devs just can't figure out what the fuck is going on.Coming from a team that builds and supports an end user suite of applications. I'm not asking you to bend over backwards like I would have to do for a client. But at least don't enter in to conversations with that attitude. You are in a service organization. You deliver value insofar as you can help the next link in the chain.
INTPenis,"on Dec 20, 2021","Yeah that's also part of our job, to expose the right info to developers so they don't have full access to everything but can still do their job. In my case that involves shipping logs to Grafana so they can view them there. In AWS it wouldn't be hard to create a policy for IAM users so the devs can view logs in the AWS console."
capn_duck,"on Dec 20, 2021","You're right, it would not be hard. But I don't have the keys to do that. I would have to talk to someone on the devops team and I would hope they wouldn't write me off as some dumb developer who only knows how to code, whatever that means."
datavirtue,"on Dec 20, 2021",Agreed. I approach shared services like a customer because that is all the power I have. It is supposed to work; that is all I know or have time to deal with. Off the the slack support channel...if you are real lucky.
Pxtl,"on Dec 20, 2021",> And through this I've noticed that developers can be just as bad at communicating issuesI swear to god the next guy who sends me the screenshot of an error log...
testplzignore,"on Dec 20, 2021",You haven't known hell until you've been sent a video of someone scrolling through a log file.
mrweasel,"on Dec 20, 2021","The number of developers who believe that operations is a support channel for development is truly amazing. How am I suppose to know why your software is broken? You wrote it. In reality it's easy enough most of the time, if you can read logs.Still, there's a weird expectation that operations is a bunch of elite developers, knowledgeable about all programming language, who just choose to do operations because they enjoy getting calls at 3AM"
dvtrn,"on Dec 21, 2021","The number of developers who believe that operations is a support channel for development is truly amazing.The amount of engineering leaders that allow it to happen is far more frustrating, at least IMO it is."
INTPenis,"on Dec 20, 2021","Or another example from last week, a java developer sends me 50 lines of exception text when even I know that ONE of those lines is all you need to explain the problem.And this particular developer is my main problem in that project. So it's not all developers who are bad, it's about the same percentage as regular end users I'd say."
bcrosby95,"on Dec 20, 2021",My boss will text me screenshots of error logs and ask me to help debug his problem via text message.UGH.
datavirtue,"on Dec 20, 2021",Blame management. They thought it would be a good idea to go into the DevOps PaaS business.
xxpor,"on Dec 20, 2021","At a certain point you have to ask how can someone not think about what they're doing at all. If someone asks for a log, what would go through your brain that says, should I give it to the person asking in the most inconvenient format possible? What's the first thing they're going to do with it?"
codeduck,"on Dec 19, 2021",> I am basically end user support for developers.Pull up a seat at the bar with us.
anotherhue,"on Dec 20, 2021",And drink whenever the dev works out that it was their fault the entire time.
codeduck,"on Dec 20, 2021","enlightenment comes seldom and without thanks, unfortunately."
pm90,"on Dec 19, 2021","I’ve seen this and I empathize. I’ve seen it lead to a sort of learned helplessness in developers who are supposed to own their whole stack.I do think it’s unavoidable though. No company will have a truly open stack. There will be customized versions of everything, with caveats only the infrastructure team or developer-tools team are aware of. Naturally these teams become the go to folks to ask questions and resolve issues.I don’t know if a good way around it. Documentation works to an extent. But at some point you have to decide what parts of the system you want to expose to developers, and whenever that happens you become the layer they communicate with rather than the underlying technology."
jsperson,"on Dec 19, 2021",I’m a consultant data engineer and am on my third engagement in a row where devops has been the hardest part of my job. Every org has their pet stack with their own poorly documented process. Having devops as developer support is critical to getting solutions out the door.
fullsend,"on Dec 20, 2021","Agreed. In my experience there are only a handful of companies (Netflix for example) where the pipeline is truly hands off and any developer can deploy to production at any time. We’re talking about the people who literally built Spinnaker, and most teams aren’t that."
spion,"on Dec 20, 2021","In my experience thats not true, but it does take education and cultural change to get there."
shrimpx,"on Dec 19, 2021","Devops is having an identity crisis, but what you describe is what I call devops. It's the subset of engineering that supports engineering by defining/inferring workflows and building systems and tools to codify them. But I've seen it called ops, sysops, internal platform, and even infrastructure -- in some companies, devops and infra are the same people."
cortesoft,"on Dec 19, 2021","Yeah, I am not sure how typical this is, but my company has DC (data center) ops, NetOps, SysOps, and DevOps…DC ops is in charge of the physical system, from racking and stacking to hardware replacements.NetOps handles the networking stack, managing the routers and switches, vlans, announcements, IP block management, network access requests, etc.SysOps handles provisioning systems, working with dc ops to get systems repaired, laying down the OS, managing the inventory system, and anything else the systems need to be ready to run our software.Then DevOps is responsible for all the software that our company writes, and managing how developers get their software onto the machines, how they configure the software, and how they interact with their software in production.The lines are obviously not that clean cut, but that is the basic idea."
kazen44,"on Dec 19, 2021","this seems to be roughly the division i have seen at most companies.Sometimes, automation and tooling are written by seperate teams, or are done by teams of different disciplines of operations/engineering.I have almost never seen a network and system groups NOT being seperate. Mind you this is in DC/ISP's environment, where the complexity of networks is usually the mainstay or a heavy dependency of the business."
xxpor,"on Dec 20, 2021",Who's clicking the button that says deploy this service to production?
cortesoft,"on Dec 20, 2021","The devs do. We have a system that slowly releases software to production in stages, and devs watch their deployment and a-b metrics to make sure the deployment is working."
xxpor,"on Dec 20, 2021","Yeah, that's totally reasonable (even a requirement for anything remotely important these days!). I'd consider that setup devs owning their deployments."
jbverschoor,"on Dec 19, 2021","It is the J2EE role ""Application Deployer"""
Mezzie,"on Dec 20, 2021",You're the librarians of the dev world by this definition. That's interesting to think about; that's what good academic librarians do. They also have a very similar identity crisis.
DyslexicAtheist,"on Dec 19, 2021",> it's the subset of engineering that supports engineeringonly it's not what the idea behind it was. It was exactly the opposite of another compartmentalization. it was supposed to bridge silos not carve out new job titles for quality control
nickcox,"on Dec 20, 2021","> only it's not what the idea behind it wasIt's like the article says:> At some point in time, this idea has been so widely misunderstood that the wrong definition of DevOps became the right one.See also: 'agile'."
lowwave,"on Dec 20, 2021","Devops is relative new term. Back in the days (in the *inx world), there is only system admin, db admin, etc. Personally, the full-stack now really need to know everything development, system admin, and db admin."
originalvichy,"on Dec 19, 2021","Disclosure: this is my role.I work as a sort of ""dev tooling engineer"" or ""platform engineer"" for several companies who are our customers.After years of consulting in the area of DevOps, the pretty smart people I work with figured out that while the developers' user story in the process of devops transformation is a ""revelation"", the one thing that usually gets forgotten is the maintenance and upkeep of those tools. So we set up a pilot project where we started hosting, maintaining and upkeeping a set of tools consisting roughly of Jira+Confluence, Jenkins as the CI/CD server, Artifactory for binary hosting and  Bitbucket/Gitlab for source code.It has worked damn well for the first pilot company (signed on 5+ years ago), the second one, and by the third the platform started selling itself (getting a public reference from the first couple companies helped a lot). The second reason for the easy buy-in is to use known software that our customers could host themselves if they had to. This practically means that we aren’t vendor-locking them with our own proprietary tools. We just take care of off-the-shelf tools.If there is a competent tooling team that takes care of the intricacies of the tools and maintains their uptimes, the dream of ""you build it you run it"" can still live. There is a giant gap between ""you build it you run it"" and reality -- much how there is a gap between a pilot being able to fly a plane and a pilot knowing how to maintain an Airbus, the airport and the runways.It says something about the job market that losing a customer pretty much never happens. It’s so much easier to find sysops/devs than it is to find people who specialize in tooling."
robmsmt,"on Dec 19, 2021","your company sounds like it would be very useful to many startups. The tooling stack we went for is:Jira+Confluence, 
circle CI as the CI/CD service
Artifactory for binary hosting
and GitHub+gitlfscircle had the lowest friction compared to Jenkins and GitHub actions wasn't out at the time!"
jordanbeiber,"on Dec 19, 2021","Last couple of places we’ve called it “dev platform” or “dev tooling” team.I use to say that it’s like one of the business domain development teams, it’s just that the domain is “dev”.
The businesses devs are the stakeholders, and the tooling/platform team members are usually already domain experts that write code.Having a “devops” team would feel like having a team called “agile team” or something - you do “devops”, you can’t build it."
prmoustache,"on Dec 20, 2021","> Having a “devops” team would feel like having a team called “agile team” or something - you do “devops”, you can’t build it.Too late. The industry has chosen to deviate the word.For years as a sysadmin I was arguing people that devops is a methodology and not a function. Now I have the Sr Devops Engineer title. I know I am still just a sys and platform engineer who's job is to facilitate life of developers but hey the industry insist on calling me devops, I have other fights more important than fixing my title and team name.I just tend to think that 20y ago people were relaying memes about sysadmins being motherfuckers who just randomly denied everything to clueless developers while the devops term emphases more the collaboration side. I hope the devs I work with are happy working with me, I sure have a good relationship with them. If that is being what the industry now choose to call a devops, I am a devops."
urthor,"on Dec 19, 2021","Exactly.  Just call it the platform/tool team.Realistically though, I'm 100% sure that absolutely nothing will stand in the way of the DevOps job title being denigrated.Companies have for a very long time used title inflation to bait and switch the unwary software engineer into editing enterprise software configs, and will continue to do so for all of time.."
jyrkesh,"on Dec 19, 2021","It wasn't necessarily the standard or even the majority, but we had that with Sysops whenever ""the build team"" or ""the deployment team"" was building self-serve tools.And I definitely agree with the article here that if you're using PaaS, you don't need a DevOps team. And there's certainly a better feedback loop there.But many will argue that PaaS _still_ isn't there yet for highly complex applications. Unless you go to a point where you basically need a team managing the eventual complexity that PaaS adds back to things for you to achieve complexity.In any case, this is mostly pedantry. We should all strive for simplicity as much as possible, but complexity in apps breeds complexity in organizational structures. DevOps was never a silver bullet, and there probably won't ever be one."
OriPekelman,"on Dec 19, 2021","Evidently any PaaS has to have _some_ opinions on the kind of apps it is going to run. You trade some assumptions against magic (and time you won't spend on making decisions that are very possibly trivial). You could very probably design some pretty complex applications on any PaaS worth its salt.. as long as you accept its assumptions, opinions . But when you do you might very well end up with the only actually achievable form of the original DevOps. Weirdly if Devs actually touch Ops it's probably no longer DevOps ... just people being cheap and asking other people to have two jobs for the price of one..."
kqr,"on Dec 19, 2021",This describes what I've heard referred to as an internal platform team.
cortesoft,"on Dec 19, 2021","Yeah, that might be a more accurate title at this point.Part of the reason that the name DevOps was chosen almost 10 years ago when it was started was to help signal to the wider org the cultural shift we were undertaking, and that the expectation was going to be for devs to own their systems all the way through production.At this point, we would probably change the name, but the team is quite attached to the name after 10 years. We actually did try to rename the team, but everyone still called it the devops team and we gave up on the change."
chazu,"on Dec 20, 2021",Agreed - this idea is often cited by fans of the book 'Team Topologies'. Its important here to distinguish between the idea of _an_ internal platform team and a _platform engineering_ team. A platform team is any team which provides services to internal clients - one such team would be the one (or ones) supporting whatever platforms-as-a-service are being used to deploy software to production.
cco,"on Dec 19, 2021","Or infrastructure team, or systems administrator, perhaps sysadmin for short ;)"
kqr,"on Dec 19, 2021","In the places I've been, a sysadmin has been someone who operates someone else's product -- not a person operating the systems developers use to operate their own product."
netizen-936824,"on Dec 19, 2021",This is my observation as well. Sysadmins writes scripts or small programs for automation but its mostly using those tools for the operation of larger systems developed elsewhere (including other internal depts)
dijit,"on Dec 19, 2021","A sysadmin wouldn’t write payment code.A sysadmin would write the tooling to ensure the payment code could work (failover databases, redundancies) and put safeguards in place so that it does not get traffic that is not intended for it.Sysadmins used to write the code that touched thousands of machines at once, developers used to write the more complex code which were the bread and butter of the company.But where I’ve worked, it was never a silo. Just a different mindset, and everyone worked together to do the best they can. That was before “DevOps”."
waynesonfire,"on Dec 19, 2021",N/A
dsr_,"on Dec 19, 2021","Dijit is completely correct.A junior sysadmin executes checklists, writes simple scripts, reads logs, and solves common problems, all while learning the complex supersystem of their workplace. They learn configuration of systems in use and how infrastructure is arranged and commonly changed.A sysadmin helps to create checklists, writes more complex code to work in an automation system, and generally solves problems with non-obvious causes and/or remedies. They know all the routine events in their workplace, and add to documentation. They build, configure, test and recommend new tools and solutions to users, devs and the rest of the ops staff.A senior sysadmin works on policy, debugs automation, solves complex interactions, and has an excellent understanding of complex systems and networks, not just at their workplace but in interactions and hypothetical interactions with the Internet at large."
LilBytes,"on Dec 20, 2021","You've nailed it.DevOps guys are senior sys admin in the cloud (and that last caveat isn't mandatory). People shit on sys admins all the time but the only real difference between senior sys admins and DevOps engineers is pay packet, tools and responsibility."
stickfigure,"on Dec 19, 2021","To adapt Greenspun's tenth rule:You have a dedicated team building an ad-hoc, informally-specified, bug-ridden, slow implementation of half of Google App Engine (or Heroku, or Digital Ocean App Platform, etc)."
cortesoft,"on Dec 19, 2021","I know my company is likely not the norm, but we can’t use Google App Engine or anything like that because we are a CDN. Our infrastructure is core to our product.I know this might be unreasonable, but I always get frustrated when everyone suggests that anyone running their own infrastructure is clearly doing it wrong. I get that most dev groups are creating web apps and should use a PaaS, but there are also a lot of us who are CREATING those platforms that other companies use. We also have to write and deploy software, and sometimes I wish I could have discussions about how to do that without most responses being that we shouldn’t do that.Maybe general developer forums like HN aren’t the best place to have those conversations, but I haven’t found great active forums dedicated to platform developers."
fragmede,"on Dec 20, 2021","I'm sure there are many people in the same boat, but I don't know that there could be the forum you imagine, not with our current cloud landscape. You're building a CDN, Netflix's video CDN is different from Akamai's is different from Fastly's is different from yours, internally and externally.
More mainstream; AWS engineers don't know GCP's architecture don't know Azure engineers' needs. And just right there are 7 different dialects of ""cloud"".There's tons of interest, but much of the knowledge is covered behind corporate NDAs/employe and getting people aligned on terminology and technologies is hard because so much is hidden behind NDAs. The current solution is either to work for a big company where there's rigorous internal discussion or go to tech conference after-parties and hope to meet the right people at the right time/place on the Ballmer curve to have a productive discussion."
lmm,"on Dec 20, 2021","If your infrastructure is core to your product then your product teams should be working on it. There are definitely teams who should be making infrastructure because it's a differentiator for them. But an internal platform team seems like an antipattern, because at that point you've got the worst of both worlds - your platform is just as distant from your developers as something like AWS, and is unlikely to offer better functionality than AWS."
ryan_lane,"on Dec 20, 2021","Kind of, but it has better observability, more reliable networking, and supports the specific subset of features needed from that platform, and better flexibility in terms of what you actually need, while not locking us to a specific way to write applications (like google app engine).Heroku's simplicity for deploying is honestly a thing to aim for, but using Heroku at scale while keeping things consistent and secure is extremely difficult. It's not built for large, complex infrastructures. It's built for small shops and ad-hoc deployments, and it's dope for that."
Aeolun,"on Dec 19, 2021","> Devops creates the tools and procedures, and dev teams use them.Which is one of the things the whole institution was designed to solve.I realize that there’s quite a lot of devs these days that got in it solely for the money, and don’t care one whit about what happens after they throw the app over the fence.But the whole reason I liked the movement was that it gave me more control over my own destiny. With half baked devops systems and processes that I have to follow it’s (mostly) no different from the BoFH of yesteryear."
galangalalgol,"on Dec 19, 2021","It isn't just a lack of care. What I have seen is some engineers coming on and focussing on the domain knowledge, others focussing on rhe pipelines and they organically divide in two and provide each other help in good cases or each whine about the other not understanding the job in the bad cases. In the bad cases they are both underestimating dramatically how much the other has learned."
i386,"on Dec 20, 2021",You lead a sysadmin team. DevOps was supposed to bring systems administration and development under the same roof. All of it. It’s a failed movement.
kbenson,"on Dec 20, 2021","Honestly, and I understand this is possibly a hard pill to swallow for anyone that really believes in devops, most devs don't necessarily think in the right mindset for high reliability and performance often required for that role. And most sysadmins don't think in the right mindset for application development and getting features specced and out the door.  What you're left with is a position mostly staffed by people that are a poor fit, even more so than the regular problems hiring for either.It's sort of like expecting you can get by with only sales engineers.  Having someone good at either job is hard enough, expecting you can staff only those that are just as good at both?  Reality is you'll just end up with people deficient in one area or the other.You might get by with a small core of people that can successfully straddle both roles, as long as you don't expect them to fully handle the needs of both departments, but I suspect hiring only for either department and fostering good communication and encouraging them to work together on projects that help deployment and availability yields better results. Maybe that partnership will grow you some good devops people if you're lucky. Maybe you should resist making a department out of them if that happens."
moksly,"on Dec 20, 2021","I’m curious as to what you’re maintaining. Once we set our pipeline up with a consultant agency and build step-by-step guides on how to launch a docker container through it, the maintenance of the pipeline has required no human hands.This is in an enterprise sized organisation with 10.000 employees.We still have a sys ops team to handle security, network and all those other things, but deploying software? That’s really easy for our developers.We use Azure DevOps, we deploy to Azure apps with a dev, testing, staging (5% traffic) and prod (95% traffic) slots. It takes maybe 5 minutes to go through the to-do-list when a new application or function or whatever is created and we have a very fascist naming convention. This isn’t an azure commercial, we’re only in azure because we’re the public sector and already so in bed with Microsoft that it’s the cheapest solution. I’m sure you could do the same in any other cloud."
ckdarby,"on Dec 20, 2021","This is partially correct and honestly if your consulting agency wasn't upfront about this they're overcharging the business either today or down the road when the business comes back needing more.Good service is ones that solve the problem in a reasonable time. Great services accomplish the same as good service but understand that the code, company and even the pipeline will evolve and either the client will need to reinvest themselves or externally again. They will communicate this with the limitations to the client.There are only two types of clients I've seen more inline with the original statement, declining or flat company and both are only in the maintenance do not touch phase."
moksly,"on Dec 21, 2021","I’m not sure what the issue with hiring them back is. We spend around 5% of a full time employee for their services, we can hire them back another 19 times this year, 39 times by next year and so on.Nothing they build us would last forever, but then, we operate 300 IT systems, only a few major systems have a life cycle of more than 5 years. 5 years ago everything we ran was on prem but on VMs on rented hardware, 10 years ago it was physically on prem some on physical servers,  now it’s in azure, who knows where it’ll be in another 5 years.I fail to see what a full time staffed devops department would give us except for added continuous cost that is so much higher than its alternatives that it’s just ridiculous.I mean, I understand full well that system operators are worried in the current climate, but most of ours simply developed into broader roles that aren’t becoming obsolete."
Fiahil,"on Dec 19, 2021","I worked with a client and a devops team before, I still thinks having a separate devops team is not the right approach.In my case, the team « responsible for creating and maintaining the tools and processes that allow the dev teams to manage their systems in production », was just a regular OPS team. So they built tools that were not working properly and they struggled to focus on the most valuable parts because they were not using them. At least, they were the one getting paged when systems were down.My next ask for my project with my next client, will be to embed a devops full-time within the dev team. At least they will understand and share the pain of having to work with a git+terraform ticket system and all the bad ideas that our OPS friends think are great."
cortesoft,"on Dec 19, 2021","This makes sense for a smaller org, but what do you do when there are dozens of dev teams? You can try to make every team a full stack team and have a devops engineer embedded with every team, but you will end up with a different process and set of tools for every team. I feel like having a dedicated devops (or tools or platform or whatever you want to call them) is needed in a large org."
Fiahil,"on Dec 20, 2021",I do work with large orgs almost exclusively. I have no problem with individual devops engineers going back to their team after X weeks or at the end of the project. This way they can integrate avances with other teams and share knowledge.I just don't want them to stay in their ivory tower and keep breaking my balls with their broken terraform templates.
datavirtue,"on Dec 20, 2021","""but you will end up with a different process and set of tools for every team""This keeps being trotted out, without question, as the reason for the shared devops platform team. So what if each team has their own opinionated build, scan, deploy tooling?It's used for compliance security scans now, so we are never going back."
Spooky23,"on Dec 19, 2021","The problem with philosophy is that reality has a way of getting in the way.Think of home improvement. If my toilet is clogged, it doesn’t make sense for most people to call a plumber. That doesn’t mean that plumbers are bad, just that it’s easy for a generalist to do basic tasks.Likewise “pure” devops rarely makes sense because developers are assigned to projects that end, and sustainment doesn’t require the same skills. It’s cheaper to pay for 20% of a $75/hr ops engineer than 100% of a $150/hr senior dev."
daitangio,"on Dec 20, 2021","Me too, I worked on Customers with ""DevOps"" teams responsible for creating and maintaining the tools and processes, creating a sort of polarization between two gropus: devs and ""devops (sysadmin)"" team.Some Developers tend to stick with the Dev parts, ignore the Docker/helm configs so, yeah there is some trouble with a true ""DevOps"" project.And Google is re-introducing a ""K8s stability role"", which is a Sys(Dev)Ops role, pushing on that direction (for valid reason).A true shift so it is difficult, but DevOps time-to-market deploy speed is so high I will no look back :)"
jiveturkey,"on Dec 20, 2021","> the key difference is that the dev teams are the ones who are using the production management tools, not the sysops team.That doesn't make your team a devops team. The devs are in fact the devops team. Engineer is ostensibly a better title so, because reasons, the engineers are just calling themselves engineers.What you're doing is really internal tooling, dev tooling, infra, prod, those kind of team names."
sharken,"on Dec 19, 2021","The DevOps team can often be the team that handles Compliance, Security and Audit for the platform.Then there is the infrastructure/deployment team and finally the developers.At least in larger organizations i think that is a common way of doing things."
balp,"on Dec 20, 2021","If you try that you totally broken the DevOps idea, but now the whole world of ops and IT did that ages ago as anything that is configured in code, e.g. yaml, is devops.The article suggests using a higher level abstraction with better tools suited for the developers than the low level tools as docker, Kubernetes etc. You can make this into a separate internal product and still keep the devops idea. But as soon you break out any of the core responsibilities for the product from the team. If that's business, security, stability or quality you are moving away from devops. Sure devops isn't the solution to all problems. But why call it devops when one doesn't like the basic devops idea."
